,X,Y,block,class,description,plate,site,stratum,year
23,18,33,," V. Draped female deity standing, with child on left hip (nos. 23—5)","23. Bm. ’2o~1, 569; sq. 18-33'; stratum II. Upper part of, a votive terra—cotta plaque representing a female ﬁgure standing, with a child on her left hip. Height 3-25 in. The skirt of her dress ﬂows out full on either side. The upper half of the child is turned to the front; its legs are in proﬁle. The mother wears an elaborate head-dress, heavy ear-pendants, necklace and a tasseled, bell-like fringe on her upper garment. The child also has an elaborate head-dress, ear—pendants and girdle. Of buff clay mixed with sand. (Pl. I 32, no. 23.)",I 32-23,Bm,2,
24,12,59,," V. Draped female deity standing, with child on left hip (nos. 23—5)","24. Bm. ’2X~376; sq. 12-59’; stratum II. Similar to preceding example, but with lower part preserved and head of the mother missing. Height 4-25 in. Of yellowish clay. (P1. 132, no. 24.)",132-24,Bm,2,
25,50,90,C," V. Draped female deity standing, with child on left hip (nos. 23—5)","25. Sk. ’3o~390; Block C’; sq. 50-90’; stratum VI. Similar to preceding but head and feet of mother missing. Height 3-62 in. This is the only specimen of this type of votive plaque found in Sirkap, and it is noteworthy that it comes from the Greek stratum referable to the second century B.C. (P1. 132, no. 25.) scarf. N0 ornaments (nos. 26, 27)",132-25,Sk,6,
26,23,56,," VI. Standing male ﬁgure wearing dhoti, with or without","26. Bm. ’2o—I,157; sq. 23- 56’; stratum II. Standing male ﬁgure in relief, wearing dhoti'. Size 4-12 x 2- 56 in. Left hand on breast; right hand holding a small vessel(?). Head and legs below knees missing. Red clay. (P1. I 32, no. 26.)",I 32-26,Bm,2,
27,30,49,," VI. Standing male ﬁgure wearing dhoti, with or without","27. Bm. ’2o—I,453; sq. 30-49’; stratum II. Standing male ﬁgure in the round, wearing dhoti' and scarf in Indian fashion. Height 3-56 in. Head, arms and feet missing. Red clay, mixed with sand. Note that, by a rare exception, this is in the round, not in relief. (Pl. 133, no. 27.)",133-27,Bm,2,
28,49,126,," VII. Standing male ﬁgure in full Indian dress (nos. 28, 29)","28. Bm. ’2I~I,487; sq. 49-I26'; stratum II. Votive plaque with standing male ﬁgure in relief. Height 4-87 in. Wears dhoti, richly broidered shawl, turban, heavy ear-pendants and necklace. Highly ornamented but much defaced. Red clay. (Pl. I 33, no. 28.)",I 33-28,Bm,2,
29,28,45,K," VII. Standing male ﬁgure in full Indian dress (nos. 28, 29)","29. Bm. ’21—36; sq. 28-45’; stratum II. Similar to preceding, but lower part missing. Height 4-62 in. Light red clay. (Pl. 133, no. 29.) These ﬁgures are of the ﬁrst century B.C. and ﬁrst century AD. It is possible that they reproduce, under a classical guise, the Indian male gods of Classes VI or VII, just as the nude female ﬁgures of Class I, I) probably reproduce the nude Mother-goddesses of Class I, a. On the other hand, it is just as likely that these quasi—classical ﬁgurines have nothing to do with the primitive deities of India. It is noteworthy that no. 30 is holding what appears to be a small ﬂask in the left hand. He may'therefore be intended forMaitreya. Block K’; sq. I 5 5-103’; stratum III. Standing male ﬁgure in the round,",133-29,Bm,2,1921
30,,,," VIII. Standing male ﬁgure in Hellenistic (Yavana) dress (nos. 30, 31)","30. Sk. ’27—139; left shoulder with right shoulder bare, and holding ﬂask in left hand. wearing himation over 4%.”,WMLMWSMVRWH 1..., H . E . CH. 24] TERRA-GOTTA AND CLAY OBJECTS 44.9 Height 2-87 in?) Head and right arm missing. Buff grey terra-cotta. Cf. p. 180 supra. (Pl. 133, no. 30.)",133-30,Sk,,1927
31,166,44,K," VIII. Standing male ﬁgure in Hellenistic (Yavana) dress (nos. 30, 31)","31. Sk. ’28—2,789; Block K; sq. 166'44’; stratum IV. Standing male ﬁgure in the round, wearing chitén reaching to the knees, and over it a himation covering both shoulders. Height 3-62 in. Right hand rests on the right hip and the left hand holds the edge of the himation. Red terra-cotta, with traces of white paint on body and drapery. Head missing. (Pl. I 33, no. 31.)",I 33-31,Sk,4,1928
32,5,62,1," IX. Standing male ﬁgure, with goat at left side (no. 32)","32. Bm. ’19—1,27o; sq. 5-62’; stratum II. Votive plaque with a standing male ﬁgure, holding goat at his left side. Height 3- 5 in. The ﬁgure is wearing a necklace with pendants, hip-girdle and bangles. The right hand, which is raised to the right breast, holds a rope to which the goat is attached. Head missing. Red burnt terra—cotta. Whether the ﬁgure is intended to be clothed or nude is uncertain. At ﬁrst sight it appears to be nude, but in the early Indian School it was the common practice to represent the dress as virtually transparent. Well-known examples are the yakshi's supporting the architrave of the east gateway at Saﬁchi. (Pl. 133, no. 32.) periods (nos. 32, a—34) 32, a. Sk. ’28—627; Block 1’; sq. 14-92’; stratum V. Male ﬁgure seated cross—legged; of badly baked clay and poor execution; head missing and left arm damaged. Height 3‘ 5 in. A.S.R. (1928-9), p. 63, no. 92.",133-32,Bm,2,1919
