,X,Y,block,class,coord,description,plate,site,stratum,year
1,,,, I. Uncut shells (nos. 1—15),,"I. Scallop shell of striking size and shape, identiﬁed by the Zoological Survey of India as a Japanese species, either Pecten uobilis Reeve or Pecten crassicostatus Sowerby, most probably the former. The route by which this interesting specimen found its way in the ﬁrst century A.D. from the shores of the Paciﬁc Ocean to Taxila was no doubt through Central Asia. First century A.D. Sk. ’26—2,215/a; sq. Ire-52’; stratum II. Cf. p. 168 (II) supra. (Pl. 202, g.)",202-g,Sk,2,1926
2,31,34,, I. Uncut shells (nos. 1—15),"31,34","2. Xaucus pyrum (Linn.).I Length 5-62 in. A conch shell used especially in the manufacture of bangles. Bm. ’2o—I,515; sq. 31-34’; stratum III. (P1. 202, b.)",202-b,Bm,3,
3,46,88,, I. Uncut shells (nos. 1—15),"46,88","3. Murex (Chicoreus) augulz' erus (Lamk.). Length 7-12 in. Like the preceding example, this ﬁne-looking shell may have served as a trumpet, but did not lend itself to the manufacture of bangles. Second century B.C. Sk. ’29—-2,7II; sq. 46-88’; stratum V. (Pl. 202, d.)",202-d,Sk,5,1929
4,62,112,, I. Uncut shells (nos. 1—15),"62,112","4. Arca (Auadara) grauosa (Linn.). Length 262 in. A mother-of—pearl bivalve. First century B.C. Sk. ’19—452; sq. 62-112’; stratum IV. (Pls. 201, no. 29; 202, e.) This species occurs throughout the coastal waters of Arabia, India, Malay Archipelago, Japan, China and Australia.2 It probably found its way to Taxila from the coast of Sind.",,Sk,4,1919
5,34,48,, I. Uncut shells (nos. 1—15),"34,48","5. Pinctada margaritifera (Linn.). (a) Sk. ’27—560; stratum II. One valve. Diam. 8-31 in. (P1. 202, c.) (b) Sk. ’933—51 ; stratum II. Similar; broken; length 5-4 in. (P1. 202, f.) (c) Sk. ’24—270; sq. 34-48’; stratum II. Similar; length 2-75 in. This is the pearl-oyster of the Ceylon and Tuticorin Pearl Fisheries, but Col. Sewell tells me that the shells ﬁshed at the present time average about 3-0 in. in diameter.","202-c, 202-f",Sk,2,1927
6,12,88,, I. Uncut shells (nos. 1—15),"12,88","6. Lamellidens marginalis (Lamk.). One valve. Diam. 3-87 in. Sk. ’22—231; sq. 12-88’; stratum II. Cf. p. 196 supra. (Pl. 202, i.) A fresh—water mollusc widely distributed in the rivers of India, Burma and Ceylon, and valued for its mother-of-pearl. Several specimens of it were found among the prehistoric remains at Mohenjo-daro. (M.I.C. II, p. 664.)",202-i,Sk,2,1922
7,,,, I. Uncut shells (nos. 1—15),,"7. Parreysia favideus (Benson). (a) Sk. ’29—423; sq. 46‘87’; stratum III. Length 1-87 in. Cf. p. 193 supra. (Pl. 202, j.) (b) Bm. ’30-28; stratum II. Length 1-4 in. (P1. 202, k.) Another freshwater mollusc widely distributed throughout Northern India, including the Indus river and Gangetic system. Also said to have been found in East Cachar, Sylhet and the Madras Presidency. Several specimens have been found at Mohenjo-daro. (M1 .0. ibid.)","202-j, 202-k",Sk,3,1929
8,,,, I. Uncut shells (nos. 1—15),,"8. Cypraea arabica (Linn.). Sk. ’29—487; stratum II. Length 2- 5 in. (P1. 202, i.) A common marine species widely distributed in the Persian Gulf, coasts of India, Ceylon, Burma, New Caledonia and Australia. One specimen was found at Mohenjo-daro. (M .I .C. II, p. 665.)",202-i,Sk,2,1929
9,41,45,S, I. Uncut shells (nos. 1—15),"41,45","9. Erosarz'a turdus (Lamk.). Bm. ’30—43; stratum II. Length r45 in. (P1. 202, u.) A large cowrie of light purple colour. 1 Previously known as Turbinella pyrum (Linn.). 2 M.I.C. p. 665. MT 35 Portrait head and other miscellaneous articles [CH. 33 670   £52m n .$ 39%: EOE"" .82 “BEN? .: ”mimsqnﬁa u .3 _                 .AQ 8on m¢ m. Acmlﬂu .85 :H .82 Sod 2‘ I. 19v 2113‘ I: II cm I .l .I 33.30 mucocw=8mm2 A: .3 50$ 1‘ “an amm , .ww 89¢ 0* .3” 6d .82 50¢ wm .ou .aQ wu Eu 80¢ 5m 6m 61% .NN «Ta E .3 6w :5 6N 6H II On mu In 4| .3 .5 .9 I. .I Adulon .85 moﬁmgm .HH .3 .S “w nQ ab .0 MN H .59 50¢ mu pl GIN» .m .H v m l .Zlo «a K N I. AmHIH .85 32% “RED .H Gamﬂuam n .o.m .o.m oonmuam Liam mmw x030 oommuzm «has: 33:3 33:8 H 96A >l~> H E 5* £5 3 5m $20 387. 3&0 SIEH >H H: >H $30         Saba maxim         83% 9.502 [Jam     meommmo qqmmm   mo Em<ﬂo A<O~Em<m©7ﬁ<mrﬁm CH. 33] SHELL OBJECTS 671 TABLE SHOWING DISTRIBUTION OF SHELL OBJECTS IN SIRKAP     Block Strata VI~V Stratum IV Strata III—II Stratum I Greek Early Saka Saka-Parthian Surface EAST SIDE OF MAIN STREET I _ _ _ _.. A —— _ _ _ B —— __ 47 _ C _' _ 5) (I, I2 — D — _ __ __ E — 18 —— — F —— —— I4 -— G — _ I _ H _ _. _ _ I _ _ __ __ J _ _ _ _ K — — 3°. 44 - L — — l _ —— WEST SIDE OF MAIN STREET 1’ — — 6 ~— A’ —— — — — B’ — —— — — C, 3 _ 77 a _ D’ — 4 42, 49 — E' — — —— —- F’ — —— —~ — G’ — — — — H’ — —— —— — K’ —— —— —- —               Note. Objects found in spoil earth or trial trenches are not included in the above Table. IO. 'Erosarz'a helvola (Linn.). Bm. ’30—882; stratum II. Length, I'I in. (P1. 202, o.) Smaller than the preceding and of pale colour. II. Erosaria (Monetaria) annulus (Linn.). (a) Bm. ’30—773; stratum II. Length 0-85 in. (P1. 202, s.) (b) Bm. ’30—720; stratum II. Length 0-8 in. (P1. 202, r.) 12. Erosaria (Monetarz'a) moneta (Linn.). (a) Sk. ’24—I,I55; sq. 41-45’; stratum II. Length 0-7 in. (P1. 202, p.) (b) Sk. ’24—82; sq. 41'51’; stratum II. Length 0-65 in. (P1. 202, q.) I 3. Oliva irisans (Lamk.). Bm. ’24—267; stratum II. Length 1-2 in. (P1. 202, m.) 14. Engina mendicaria (Linn.). Formerly known as Pusz'ostoma mendicaria (Linn.). Sk. ’13— 389; sq. 93'57’; stratum II. Cf. p. 166 supra. 15. Pyreneﬂcwa (Brug.). Dh. ’17—51; 2 ft. below surface. Cf. p. 294 supra. Type a. Plain.","202-u, 202-o, 202-s, 202-r, 202-p, 202-q, 202-m",Bm,2,1930
16,15,11,, II. Bangles (nos. 1641),"15,11","I6. Fragment of shell bangle, with outer face bevelled to sides. Length 2- 5 in. Bm. ’19—270; sq. 15-11’; stratum II. Cf. p. 109 supra. (Pl. 201, no. 4.) I7. Similar. Length 262 in. Bm. ’21—437; sq. 23-60’; stratum II. Cf. p. 109. (P1. 201,no.5.) 18. Similar with plain outer face and ribbed sides. Length 2- 5 in. Repaired With two copper rivets at ends. Sk. ’I4—I,077; sq. 72-65’; stratum IV. Cf. p. 135 supra. (Pl. 201, no. 6.) 85-2 672 SHELL OBJECTS [CH. 33","201-4, 201,no.5, 201-6",Bm,2,1919
19,,,, II. Bangles (nos. 1641),,"19. Similar to preceding, with projecting ﬂange on either edge of outer face. Length 212 in. For this type of ﬂanged bangle in metal, cf. nos. 7—9 in ‘Copper and Bronze’, ch. 28. The depression between the ﬂanges may have been intended for enamel. Dh. ’16—361; G8; I ft. below surface. Cf. p. 294 supra. (Pl. 201, no. 8.)",201-8,Dh,,1916
20,,,, II. Bangles (nos. 1641),,"20. Similar to preceding. Two fragments. Length 2 and 2-12 in. respectively. Mm. ’15—2; mon.; 4 ft. below surface. Cf. p. 363 (20) supra. (Pl. 201, no. 25.) Type b. Decorated with simple incised designs.",201-25,Mm,,1915
21,33,12,, II. Bangles (nos. 1641),"33,12","21, a—d. Four shell bangles bevelled on outer face and with a simple cross incised on each. Diam. 2-75 in. Bm. ’21—467; sq. 33'12’; stratum II. Cf. p. 109 supra. (Pl. 201, no. I.)",201-I,Bm,2,1921
22,,,, II. Bangles (nos. 1641),,"22. Fragment of shell bangle with repeat of hooked triangles incised. Length 175 in. Bm. ’13—28; stratum II. Cf. p. 109 supra. (Pl. 201, no. 17.)",201-17,Bm,2,1913
23,,,, II. Bangles (nos. 1641),,"23. Similar, with ﬁle-edged outer rim and diamond pattern incised. Length 231 in. Dh. ’16—726; mon. court A; 16 ft. below surface. Cf. p. 278 supra. (Pl. 201, no. 10.)",201-10,Dh,,1916
24,,,, II. Bangles (nos. 1641),,"24. Similar. Length 187 in. Dh. ’13—1,606; ](west); 2 ft. below surface. Cf. p. 294. supra. (Pl. 201, no. 11.)",201-11,Dh,,1913
25,,,, II. Bangles (nos. 1641),,"25. Similar with two rows of alternating lines. Length 175 in. Ss. ’15—50; Pindora; 3 ft. below surface. Cf. p. 220 supra. (Pl. 201, no. 23.)",201-23,,,1915
26,,,, II. Bangles (nos. 1641),,"26. Three fragments of shell bangle with chequered pattern incised. Length 1-5—2-37 in. Dh. ’15—-1,402; mon. court A; 10 ft. below surface. Cf. p. 278 supra. (Pl. 201, no. 13.) Type c. Decorated with designs in relief.",201-13,Dh,,1915
27,38,12,, II. Bangles (nos. 1641),"38,12","27. Fragment of shell bangle with cable pattern in relief. Length 125 in. Bm. ’21—467; sq. 38-12’; stratum II. Cf. p. 109 supra. (Pl. 201, no. 2.)",201-2,Bm,2,1921
28,8,52,, II. Bangles (nos. 1641),"8,52","28. Similar, with cable pattern between borders. Length 2 in. Bin. ’19—286; sq. 8-52’; stratum II. Cf. p. 109 supra. (Pl. 201, no. 3.)",201-3,,2,1919
29,,,T2, II. Bangles (nos. 1641),,"29. Similar, but bolder modelling. Diam. 2-5 in. Dh. ’16—72; T2; 3 ft. below surface. Cf. p. 247 supra. (Pl. 201, no. 12.)",201-12,Dh,,1916
30,164,44,, II. Bangles (nos. 1641),"164,44","30. Similar, with overlapping scale pattern in relief. Length 212 in. Fine hatching on both sides. Sk. ’14—-363; sq. 164-44’; stratum II. Cf. p. 177 supra. (Pl. 201, no. 7.)",201-7,Sk,2,1914
31,,,, II. Bangles (nos. 1641),,"31. Four fragments of shell bangle, one with conch shell in relief. Length 175—262 in. Dh. ’15—1,557; mon. court A; 8 ft. below surface. Cf. p. 278 supra. (P1. 201, no. 9.)",201-9,Dh,,1915
32,,,, II. Bangles (nos. 1641),,"32. Fragment of shell bangle with crude wave pattern in relief. Length 212 in. Dh. ’15— 1,263; mon. court A; 4 ft. below surface. Cf. p. 278 supra. (Pl. 201, no. 14.)",201-14,Dh,,1915
33,,,, II. Bangles (nos. 1641),,"33. Similar, with beading between borders. Length 2' 5 in. Dh. ’12—49; H; 7 ft. 10 in. below surface. Cf. p. 294 supra. (P1. 201, no. 15.)",201-15,Dh,,1912
34,,,, II. Bangles (nos. 1641),,"34. Similar, with rough bead-and-reel pattern in low relief. Length 25 in. 83. ’15—17; Pindora; 2 ft. below surface. Cf. p. 220 supra. (Pl. 201, no. 24.)",201-24,,,1915
35,,,, II. Bangles (nos. 1641),,"35. Similar with head of snake and three projecting bezels with countersunk depressions for inlay. Length 187 in. 11. ’12—2; Mound D. Cf. p. 229 supra. (Pl. 201, no. 16.)",201-16,,,1912
36,,,T2, II. Bangles (nos. 1641),,"36. Similar, with repeat of conventionalised bird carved in low relief. Diam. 2- 5 in. Dh. ’16—72; T2; 3 ft. below surface. Cf. p. 247 supra. (Pl. 201, no. 19.)",201-19,Dh,,1916
37,,,, II. Bangles (nos. 1641),,"37. Similar. Length 187 in. Dh. ’16—198; 01; 2ft. below surface. Cf. p. 294 supra. (Pl. 201, no. 20.)",201-20,Dh,,1916
38,,,, II. Bangles (nos. 1641),,"38. Similar, with copper clamp joining broken pieces. Length 2- 5 in. Mm. ’15—2; mon.; 4 ft. below surface. Cf. p. 363 supra. (Pl. 201, no. 26.)",201-26,Mm,,1915
39,,,, II. Bangles (nos. 1641),,"39. Similar, with repeat of heart pattern, chevrons and medallion. Traces of red paint. Length 1-62 in. 11. ’12—7; Mound D. Cf. p. 229 supra. (Pl. 201, no. 21.)",201-21,,,1912
40,,,, II. Bangles (nos. 1641),,"40. Similar, with repeat of conventionalised bird-head pattern in relief. Length 187 in. 83. ’15—38; Pindora; 6 ft. below surface. Cf. p. 220 supra. (Pl. 201, no. 22.) CH. 33] SHELL OBJECTS 673 Type d. Inlaid with coloured stones or paste. Cf. also no. 35 supra.",201-22,,,1915
41,,,, II. Bangles (nos. 1641),,"41. Fragment of shell bangle with ‘dot and comma’ pattern sunk in outer face for inlay. Length 1-62 in. J1. ’12—258; Mound C; 4 ft. below surface. Cf. p. 224 supra. (Pl. 201, no. 18.)",201-18,,,1912
