,X,Y,block,class,coord,description,plate,site,stratum,year
1,52,85,S,,"52,85","I. Statuette in the round of pot—stone (impure talc or steatite), representing a goddess seated on a four-legged throne. Height 4'62 in. She is clad in a classical dress consisting of a long tunic and mantle; in her left hand she holds a ‘horn of plenty’ (cornucopia); her right hand is wrapped in her mantle. On her head is a low poles. Over the stool is a coverlet with chequered pattern. The type is a common one throughout the Graeco-Roman world and has been identiﬁed variously as Demeter, Tyche, Fortuna, Bona Dea, etc. As early as the middle of the sixth century B.C., Boupalos of Chios executed a statue of Tyche for Smyrna, which, I See, however, the descriptions of nos. I and 2 infra. There is no reason to connect these two pieces with either Buddhism or Gandhara. [J. M.] Images, genii and gods The Bodhi- sattvas The Buddhas 7oo STONE SCULPTURES [CH.36 DISTRIBUTION OF STONE SCULPTURES No stone sculptures were found on the Bhir Mound site. For carved toilet-trays found in Sirkap, cf. ‘Stone Objects’, ch. 25, nos. 62—97         SIRKAP EAST SIDE OF MAIN STREET WEST SIDE or MAIN STREET Block Strata III—II Stratum I Block Strata III—II Stratum I Saka-Parthian Surface Saka-Parthian Surface , 1 — — 1’ — — A — _ A, 4 _ B IO — B’ — — C 12, 13 —— C’ 1 — I) —- -— 13’ 3,5 9 E — — E’ —— 8, 135 F —- — F’ —— — G —— — G’ - — — H 14 —— H’ — — 1 __ .. _ _ _ J I 1 ——- — — — K — — K’ — -— L — I — —— — —                 OTHER SITES Akhauri (Chir Tope B). No. 59 Bajran. No. 176 Bhamala. No. 2 ‘Dharmarajika. Nos. 6, 15—17, 20—7, a—d, 28—30, 32—44, 47—54, 56—8, 60, 63—7, 70, 71, 73—5, 78—82, 84—91,93,95,97—101,Io3,106—9,111,112,114-16,118,120—3,125—32,I36—41,145—53,155, 156,I58,I6I.I62,164-75,I78,I79,181—7,I89,I9o,192,194,I95,I98,I99 Giri. No. 113 Jandial. No. 154 Jauliaﬁ. Nos. 45, 46, 94, 124, 157, 160, 197 Kalawan. Nos. 19, 61, 62, 68, 69, 72, 76, 77, 92, 96, 102, 104, 105, 117, 119, 133, 134, 144, a, b, I63.I77,180,I93,I96 Kunala. No. 18 Mohra Moradu. Nos. 31, 55, 83, 110, a—c, 142, 143, 159, 188, 191 according to Pausanias (IV, 30), had a polos on her head and held in her hand what the Greeks called ‘the horn of Amalthea’. In India the type is familiar on coins of Azes I and II and appears to have been adopted for the yakshz‘ Hariﬁ,I whom this statuette possibly represents. Date, early ﬁrst century AD. Sk. ’22—860/2; Block C’; sq. 52-85’; stratum II. Cf. p. 192 supra. (Pl. 211, no. 1.)",211-1,Gr,2,1922
2,,,,,,"2. Similar to the preceding and of potstone, but of later date and crude workmanship. Height 27 in. The goddess has her head and shoulders turned slightly to her right and is leaning against a cylindrical shaft at her back; she wears an Indian sdrz', necklace and bangle, and in place of the cornucopia in her left hand she holds what appears to be a pair of lotus buds. A hole pierced in the top of the head was intended probably for ﬁxing the poles. Date, fourth to ﬁfth century AD. Bhamala; ’29—282. Cf. p. 396 supra. (Pl. 211, no. 2.) I In Buddhist art Hariti is frequently ﬁgured as the consort of the yaksha Paﬁcika, ‘Giver of riches’. Cf. Foucher, Beginnings of Buddhist Art and other Essays, pp. 139—46, 271—91. .np-W QRMAH» _.M Ni LBW..— . a. s» “mwmm'i ‘3, i: :1 l i, i 3 f. l       CH. 36] STONE SCULPTURES 701",211-2,,,1929
3,58,116,D,,"58,116","3. Standing female ﬁgure of chloritised mica schist, in the round. Height 9 in. The ﬁgure is naked save for a shawl or sari, which falls over the left arm and below the hips. The left hand holds the hem of the surf; in the right hand, which is raised to the breasts, is a lotus. Her ornaments consist of a hip girdle (mekhald) with square clasp in front and three rows of beads; a breast—chain, crossed both front and back; bracelets; armlets; and a narrow taenia across the forehead. The hair is taken back from the forehead and falls in a long plait down the back, with a few curls on the two shoulders. On the crown of the head, at the back, is an ornamental medallion. The type appears to be derived from a Greek Aphrodite type, but is much Indianised. It may have been intended to represent an Indian yakshz‘ or fairy; but it seems more likely to be the goddess holding a lotus in her hand who is portrayed on certain autonomous coins of TaXila, and may represent either the Tyche of the city, or, more probably, Maya. (B.M. Cat. Am. Ind. Coins, Pl. XXXII, 5, 6). In the Gandhara School, to which this sculpture belongs, ﬁgures in the round are very rare and for the most part earlier than the usual alto rilievos. (Cf. Mathura Museum, F42.) This statuette dates from the Saka—Parthian period and is probably to be referred to the early part of the ﬁrst century A.D. For the deposit (G) in which it was found in company with a large collection of copper dies, see vol. I, p. 189. Sk. ’19-790; Block D’; sq. 58-116’; stratum II. Cf. A.S.R. (1919), PI. IX, 1, 2. (Pl. 211, no. 3, a, b.)",211-3-a-b,Gr,2,1919
4,18,93,A,,"18,93","4. Standing female ﬁgure in the round of chloritised mica schist, probably dating from the ﬁrst century B.C. Height 725 in. The pose is rigidly frontal, with feet front, legs together, and hands on hips. Save for ornaments consisting of anklets, girdle, crossed breast-chain, armlets and bangles, the ﬁgure is nude. The hair, which is treated like a wig in front, is taken back from the forehead and falls in a long plait down the back, with a few curls on each shoulder. On the top of the head is a low polos. Beneath the small base is a projecting tenon, evidently intended to ﬁt into a socket-hole. In ancient times the statuette was broken into two at the knees, and, in order to repair it, two small holes were drilled between the legs, one above and one below the fracture. The stiff frontal pose and the poles on the head suggest a Caryatid, but the ﬁgure is so small that it can hardly have served that purpose. Possibly the sculptor was endeavouring to portray an archaic type, such as that of the ‘Mother or Earth goddess’, which was still being perpetuated at TaXila as late as the ﬁrst century A.D., but this is quite problematical. Cf. pp. 195-6 supra; A.S.R. (1929), P1. XVI, I, 2. Sk. ’29—1,2o6; Block A’; sq. 18-93’; stratum III. (Pl. 211, no. 4, a, b.)",211-4-a-b,Sk,3,1929
5,63,100,D,,"63,100","5. Standing female ﬁgure in the round of pale grey micaceous slate. Height 4-12 in. The ﬁgure, which may be that of a donor belonging to a group, wears a sleeved tunic reaching to the feet, and a cloak which appears to be held in place by shoulder-straps passing in front of the shoulders and attached, perhaps, to the belt. The hands are raised in front of the waist and support a tray(?) full of ﬂowers or other offerings. The ornaments worn comprise anklets, bangles and girdle (mekhald). The head, which was made in a separate piece and joined to the body by a tenon and socket, is missing, but two plaits of hair are shown falling over the cloak at the back. Probable date, early ﬁrst century A.D. Cf. p. 191 supra; A.S.R. (1928), P1. XIX, 2. Sk. ’28—I,163; Block D’; sq. 63-100’; stratum II. (Pl. 212, no. 5, a, b.)",212-5-a-b,Sk,2,1928
6,,,,,,"6. Standing male ﬁgure in the round of grey Taraki sandstone.I Height I6 in. Wears dhotz‘, shawl, bracelets and necklace( P). The right hand is raised in front of the breast with the ﬁngers in what is known as the chin-mudra or jndﬁa—mudrd, denoting meditation, knowledge and purity. The left hand rests on the hip. The head and feet are missing. Although the ﬁgure is ostensibly in the round, the front is ﬂattened as in a relief and the back is not modelled. As the sculpture was found at the Dharmarajika Stﬁpa, there can be no doubt that it is Buddhist, and we may surmise that it represents the Bodhisattva at a period when his types had not yet been ﬁxed. Like nos. 7 and I 5, it is the work of a local sculptor of Taxila. Date, early part of the ﬁrst century A.D. or perhaps the latter part of the preceding century. See p. 694 supra. Dh. ’12~277; north-east ofMain Stﬁpa; 3 ft. 6 in. below surface. Cf. A.S.R. (1912), P1. VII, d. (P1. 212, no. 6.) ‘ This sandstone is impregnated with calcium carbonate. MT 89 702 STONE SCULPTURES [CH. 36",212-6,Dh,,1912
7,,,,,,"7. Standing male ﬁgure of grey Taraki sandstone in the same massive style as the preceding but perhaps a little earlier. Height 26-25 in. The ﬁgure wears a tunic tied by a cord at the waist and reaching to the knees, long shawl or himation, high boots and necklace(?). The high boots suggest that it may represent Sﬁrya, the Sun—god, whose temple is said by Philostratus (Life of Apollom'us, II, 24) to have stood in the city of Sirkap, where the statue was found. Like no. 6, the statue, although free-standing, is treated as much like an alto rilievo as a ﬁgure in the round. The right forearm, which was attached by means of a tenon and socket, is missing, and the head is defaced. The hair is arranged in the same wig-like fashion as on no. 4 and other ﬁgures of the early Gandhara School. The peculiar treatment of the drapery, which falls in loose folds round the shoulder and arms and stands out on either side of the hips, recalls that on certain coins of Azes I. (BM. Cat. Pl. XIX, I.) Probable date, latter part of ﬁrst century B.C. Sk. ’16—A739; stratum II. Cf. pp. 694—5 supra. (Pl. 212, no. 7.)",212-7,Sk,2,1916
8,75,93,E,,"75,93","8. Bracket of chloritised mica schist in the form of a winged male ﬁgure, with hands in front of breast, possibly holding some object. Height 4-7 5 in. The ﬁgure wears bangles, necklaces and shawl, which is drawn across the back and through both arms, leaving the front of the body bare. On the head is a broad—tasselled bandeau. The feet and ankles are missing. Observe the rough heavy character of the modelling and the careless workmanship; also the formal treatment of the folds of the shawl, as in other ﬁgures of this period. Such brackets as this one and nos. 11, 12 and 16—21 were commonly used to adorn the domes of stﬁpas near their base. (Foucher, A.G—B.G. I, p. 59, ﬁg. 12.) Early Gandhara School. First half of ﬁrst century A.D. Sk. ’27—83; Block E’; sq. 75'93’; stratum I. Cf. p. 184 supra. (Pl. 212, no. 8.)",212-8,Sk,1,1927
9,60,77,D,,"60,77","9. Standing male winged ﬁgure in semi-relief, of chloritised mica schist. Height 4'7 5 in. Wears scarf in same manner as preceding, leaving the front of the body nude. The two hands are raised in front of breast, holding uncertain object (P bird). The head is missing. The ﬁgure is of heavy proportions, coarsely modelled and carelessly ﬁnished. Early Gandhara School. Probable date, ﬁrst half of ﬁrst century A.D. Sk. ’14—164; Block D’; sq. 60'77’; stratum I. Cf. p. 191 supra. (Pl. 213, no. 9.) IO. Standing male ﬁgure in the round, of chloritised mica schist. Height 7-37 in. Wears bangles, necklace and scarf in same manner as nos. 8 and 9, leaving front of body bare. Hands raised in front of breast, the left hand holding bird. Head and parts of legs missing. Although the ﬁgure is in the round, the back is ﬂat and unmodelled. Early Gandhara School. Same date as preceding. Cf. p. 147 supra; A.S.R. (1924), P1. XII, 9. Sk. ’24—481; Block B; sq. 37-44’; stratum II. (Pl. 213, no. 10.)","213-9, 213-10",Sk,1,1914
11,148,51,J,,"148,51","11. Volute bracket of pale chloritised mica schist in the form of a winged male ﬁgure springing at the hips from an acanthus leaf base. Length 6-62 in. The ﬁgure wears a sleeved tunic, shawl and Indian turban and cylindrical ear-ornaments of Indian design. His two hands are raised in adoration in front of his breast. On the back and tenon of the bracket is a Kharosh- thi inscription: Savatrateua m'yatito vihare matapitu puyae Devadato = ‘Presented by Sarvatrata in the Vihara, in honour of his mother and father, Devadatta’. The letters are said by Prof. Konow to be of about the same age as the inscriptions on the silver vessels from Sirkap (‘ Silver- ware’, ch. 29, nos. 2, 10, I3, 19), i.e. c. A.D. 30-4o—a date which is also borne out by the ﬁndspot and style. Early Gandhara School. Observe the characteristic treatment of the drapery, arranged in schematic folds. Cf. p. 171 supra; A.S.R. (1926), p. 118, no. 8 and P1. XXVIII, 9; Ep. Ind. vol. 11, pp. 99—100, and P1. XIX. Sk. ’26—1,457; Block J; sq. 148-51’; stratum II. (Pl. 213, no. 11.)",213-11,Sk,2,1926
