,X,Y,Block,Class,Coordinates,Description,Plate,Site,Stratum,Year,Chapter
2,49,88,C, I. ‰Û÷Nude Mother‰Ûª or ‰Û÷Earth goddess‰Ûª type (nos. 1‰ÛÓ8),"49,88","2. Sk. ‰Ûª30-512; Block C‰Ûª; sq. 49'88‰Ûª; stratum VII. Standing female •Âgure of •Âne terra-cotta adorned with incised lines and rosettes. Height 3 in. Much like no. I, but the legs are longer, there are four rosettes on the chest, and the torque or necklace is modelled in relief. Head missing. For the rosettes, see my remarks on the red stone statuette of the Chalcolithic Age from Harappa (M .I .0. vol. I, p. 4.6 and P1. X). The parallel lines around the legs in this and I The idol shows no mark of attachment at the base, but this would be readily accounted for if it was set up in a socket-hole or if the tank was made of clay, as in modern Bengal. .. WWWMW .. .s . CH. 24.] TERRA-GOTTA AND CLAY OBJECTS 443 nos. I and 3 probably represent a series of anklets, like those so commonly found on female •Âgures at Sa•Âchi‰Û÷. (Pl. I32, no. 2.)",I32-2,Sk,7,1930,24
6,75,76,E, I. ‰Û÷Nude Mother‰Ûª or ‰Û÷Earth goddess‰Ûª type (nos. 1‰ÛÓ8),"75,76","6. Sk. ‰Ûª16‰ÛÓ362; Block E‰Ûª; sq. 7 5-76‰Ûª; stratum II. Ex-voto relief with standing female •Âgure, of muddy brown clay. Height 4 in. No wash or slip. Head, feet and hands missing. Arms hanging at full length on either side of body. Cf. p. 184 supra. (P1. I 32, no. 6.)",I 32-6,Sk,2,1916,24
7,8,61,1, I. ‰Û÷Nude Mother‰Ûª or ‰Û÷Earth goddess‰Ûª type (nos. 1‰ÛÓ8),"8,61","7. Sk. ‰Ûª16‰ÛÓ594; Block 1; sq. 8-61‰Ûª; stratum II. Ex-voto plaque with standing female •Âgure, of greyish black terra-cotta. Height 4-2 5 in. Head and legs below knees missing. Right hand raised to waist. Left hand on hip. Cf. p. 142 supra. (Pl. 132, no. 7.)",132-7,Sk,2,1916,24
8,161,62,K, I. ‰Û÷Nude Mother‰Ûª or ‰Û÷Earth goddess‰Ûª type (nos. 1‰ÛÓ8),"161,62","8. Sk. ‰ÛªI4~89; Block K; sq. 161-62‰Ûª; stratum II. Standing female •Âgure in the round of red terra-cotta. Height 3-62 in. Head and feet missing. Arms end in points below shoulders. Down the back is a plait of hair. (Pl. 132, no. 8.) With the exception of no. 16, these •Âgures are in relief on eX-voto plaques. That they represent divine •Âgures there can be no doubt. In nos. 9 and I 5 no folds are visible on the draperies; in the remainder the folds are •Ânely delineated. The nature of the lower garment is not clear. In some it appears to be a dhoti or sari; in others it is more like a skirt, while in one specimen it is seemingly a pair of trousers such as Pathan and Hazara women generally wear at the present day. In some specimens the arms are at full length, holding out the skirt or trousers on either side of the legs (e.g. nos. 9 and 10); in others the right or left hand rests on the hip, while the other hand hangs down (e.g. nos. I 1‰ÛÓ15). None of the •Âgures are later than the second century 3.0.",132-8,Sk,2,,24
15,,,," II. Female deity standing, with full-•Ââowing skirt (nos. 9‰ÛÓ16)",,"15. Sk. ‰Ûª14‰ÛÓ266; stratum II. Outside the city wall. Votive relief of reddish yellow terra‰ÛÓ cotta with standing female. Height 5- 5 in. No wash or slip. The •Âgure is wearing an elaborate veil, which hangs down the back on either side of the head, ear-pendants, necklace and a wide-•Ââowing garment below the waist. Cf. no. 9 supra. Of Maurya age or'earlier. (Pl. 132, no. 15). It is to be noted that, though nos. 14 and I 5 come from Jandial and Sirkap respectively, they are of the same age as the Bhir Mound specimens.",132-15,Sk,2,1914,24
16,,,," II. Female deity standing, with full-•Ââowing skirt (nos. 9‰ÛÓ16)",,"16. A derivative of the foregoing type may be a terra-cotta •Âgurine in the round found in Sirkap. (Sk. ‰Ûª12; Trench A 285; stratum II; height 3-87 in.) with head, right hand and legs missing. At •Ârst sight, this •Âgure, which is unique at Taxila, looks as if she was seated cross- legged. In reality, however, she is standing with her skirts Wide spread, the legs being broken off short. The left hand is turned upwards and holds some uncertain object. (Pl. 132, no. 16.) wearing tight skirt (nos. 17‰ÛÓ19) Her veil and braided hair fall from the crown on either side of the head. Her ornaments comprise a hip‰ÛÓgirdle (mekhald), necklaces, bangles, and rosettes on the ‰Û÷head. The bird, which may be a clove, calls to mind a familiar type of Aphrodite. The type strikingly resembles such •Âgures as Brit. Museum nos. B452, 458 from Naukratis or C232‰ÛÓ52 from Cyprus; and it is noteworthy that the arms retain the Ionian attitude proper to the female sex. Possibly the type may go back to an Ionian (Yavana) tradition introduced into the Panjab during Achaemenid times. Cf. Naukratis I, P1. 11, nos. 1 and 2, Pl. XIV, no. 8.",132-16,Sk,2,1912,24
25,50,90,C," V. Draped female deity standing, with child on left hip (nos. 23‰ÛÓ5)","50,90","25. Sk. ‰Ûª3o~390; Block C‰Ûª; sq. 50-90‰Ûª; stratum VI. Similar to preceding but head and feet of mother missing. Height 3-62 in. This is the only specimen of this type of votive plaque found in Sirkap, and it is noteworthy that it comes from the Greek stratum referable to the second century B.C. (Pl. 132, no. 25.) scarf. No ornaments (nos. 26, 27)",132-25,Sk,6,,24
31,166,44,K," VIII. Standing male •Âgure in Hellenistic (Yavana) dress (nos. 30, 31)","166,44","31. Sk. ‰Ûª28‰ÛÓ2,789; Block K; sq. 166-44'; stratum IV. Standing male •Âgure in the round, wearing chitÌ©n reaching to the knees, and over it a himation covering both shoulders. Height 3-62 in. Right hand rests on the right hip and the left hand holds the edge of the himation. Red terra-cotta, with traces of white paint on body and drapery. Head missing. (P1. 133, no. 31.)",133-31,Sk,4,1928,24
32,14,92,1, X. Seated male •Âgure. Of the Greek and Saka-Parthian,"14,92","32, a. Sk. ‰Ûª28‰ÛÓ627; Block 1'; sq. 14-92'; stratum V. Male •Âgure seated cross-legged; of badly baked clay and poor execution; head missing and left arm damaged. Height 3- 5 in. A.S.R. (1928‰ÛÓ‰ÛÓ9), p. 63, no. 92.",,Sk,5,1928,24
33,27,91,A, X. Seated male •Âgure. Of the Greek and Saka-Parthian,"27,91","33. Sk. ‰Ûª29‰ÛÓ2, 541; Block A‰Ûª; sq. 27-91‰Ûª; stratum IV. Male •Âgure in round, seated cross- legged in Indian fashion. Height 3 in. Wears long coat crossed over chest, with waist‰ÛÓband and trousers. Hands resting on legs. Traces of white paint. Head missing. Red terra-cotta. (Pl. 133, no. 33.)",133-33,Sk,4,1929,24
34,57,46,D, X. Seated male •Âgure. Of the Greek and Saka-Parthian,"57,46","34. Sk. ‰Ûª29‰ÛÓ2,o36; Block D; sq. 57-46‰Ûª; stratum II. Male •Âgure seated in European fashion on stool. Height 312 in. Wears dhoti' and scarf. Although the dress is Indian, the •Âgure seems to be under Greek in•Ââuence. Right hand damaged and head missing. Red terra-cotta. Cf. p. I 57 supra. (P1. 133, no. 34.) Type a. Many specimens of this type of votive plaque have been found in the Bhir Mound, but two examples will suf•Âce for them all. They are of the third or second century 3.0.",133-34,Sk,2,1929,24
36,34,42,B, XI. Male and female •Âgure standing side by side (nos. 3 5~8),"34,42","36. A similar plaque, but broken, was also found in Sirkap (Sk. ‰Ûª15‰ÛÓ881 ; Block B; sq. 34-42‰Ûª; stratum II). Height 387 in. It dates from the second century B.C. Cf. p. 148, no. 3 supra. Pairs of male and female •Âgures Pot-bellied dwarfs 450 TERRA-GOTTA AND CLAY OBJECTS [CH. 24 Type I). In another type (b) of the same subject, the woman is standing with her right leg drawn back and her weight resting on the left leg. ‰Û÷",,Sk,2,1915,24
42,13,47,1," XII. Pot-bellied dwarfs (kumbhanda or kichaka) (nos. 39‰ÛÓ44, a)","13,47","42. Sk. ‰Ûª26‰ÛÓ4,247; Block 1; sq. 13-47‰Ûª; stratum II. Squatting kumbhauda on a cushion, holding animal in curve of left arm. Height 3 in. He wears what appears to be a skull-cap turned over at the brim and two long ear-pendants. The expression of the face calls to mind the faces of Mara‰Ûªs soldiers on the north gateway at Sa•Âchi. In this and other similar kumbhauda •Âgures may be seen perhaps the prototype of the later •Âgures of Kuvera. Cf. p. 142 supra. (Pl. 133, no. 42.)",133-42,Sk,2,1926,24
42,14,86,," XII. Pot-bellied dwarfs (kumbhanda or kichaka) (nos. 39‰ÛÓ44, a)","14,86","42, a. Another example of the same kumbhdzzda (height 2-12 in.) is seated cross-legged instead of squatting, and holds a staff (3) in both hands (Sk. ‰Ûª28‰ÛÓ2,645; sq. 14-86‰Ûª; stratum II). Cf. p. 196 supra.",,Sk,2,1928,24
46,,,A, XIII. Greek and quasi-Greek •Âgurines (nos. 45‰ÛÓ53),,"46. Sk. ‰Ûª20‰ÛÓ51 1; Block A‰Ûª; sq. 2 584‰Ûª; stratum III. Female head of red terra-cotta. Height 2-37 in. Wears wreath and head band, with rosettes above ears and high coiffure behind. Small air-vent on top of head. The style is strikingly Hellenistic, like that of many terra-cotta heads from the mound of Akra near Bannu. Cf. p. 195 supra. (Pl. 133, no. 46.)",133-46,Sk,3,1920,24
4,90,50,F, XIII. Greek and quasi-Greek •Âgurines (nos. 45‰ÛÓ53),"90,50","4.7. Sk. ‰Ûª26‰ÛÓ2,689; Block F; sq. 90'50‰Ûª; stratum III. Head of female •Âgurine of buff-coloured terra‰ÛÓcotta. Height 237 in. Wears openwork net, perhaps of gold or silver, over front of hair and high bandeau behind, with rosettes above the ears. Good Hellenistic style. Cf. p. 166 supra. (Pl. 133, no. 47.)",133-47,Sk,3,1926,24
48,107,78,G, XIII. Greek and quasi-Greek •Âgurines (nos. 45‰ÛÓ53),"107,78","48. Sk. ‰Ûª28‰ÛÓI,977; Block G‰Ûª; sq. 107-78‰Ûª; stratum II. Head of female •Âgurine of terra-cotta wearing prominent ear cones and •Âllet band over curly hair. Height I - 37 in. In good Hellenistic style. The cones at the sides of the head call to mind the face-cones of prehistoric •Âgurines of the Indus period. Cf. M.I.C. vol. III, Pl. XCV, 26, 27. (Pl. 133, no. 48.)",133-48,Sk,2,1928,24
49,27,92,A, XIII. Greek and quasi-Greek •Âgurines (nos. 45‰ÛÓ53),"27,92","49. Sk. ‰Ûª29‰ÛÓ2,978; Block A‰Ûª; sq. 27-92‰Ûª; stratum V. Head of female •Âgurine of red terra- cotta, wearing simple •Âllet (taem'a) over her curly hair. Height 1- 12 in. Seen in pro•Âle, the face has a very pleasing smile. Cf. p. 127 supra. (Pl. 133, nos. 49 and 49, a.)",133-nos. 49 and 49-a,Sk,5,1929,24
51,85,63,F, XIII. Greek and quasi-Greek •Âgurines (nos. 45‰ÛÓ53),"85,63","51. Sk. ‰Ûª13-‰ÛÓ142; Block F; sq. 85-63‰Ûª; stratum II. Head of male •Âgurine with conical cap. Height 175 in. Of same date as the stucco heads from the apsidal temple D, which, like this head, are of the Parthian period. Cf. ‰Û÷Stucco Objects‰Ûª, ch. 26, nos. 1‰ÛÓ22 and p. 166 supra. (Pl. 134, no. 51.)",134-51,Sk,2,1913,24
52,28,93,B, XIII. Greek and quasi-Greek •Âgurines (nos. 45‰ÛÓ53),"28,93","52. Sk. ‰Ûª29‰ÛÓ2,693; Block B‰Ûª; sq. 28'93‰Ûª; stratum V. Head of male •Âgurine. Height 2-12 in. Wears moustache and wreath, with the hair falling on each side over ears. Cf. p. 127 supra and the small relief of a head in shell of Parthian date, Pl. 208, no. 51 = ‰Û÷ Shell Objects‰Ûª, ch. 33, no. 42. (Pl. 134 no. 52.)",134 52,Sk,5,1929,24
53,,,C, XIII. Greek and quasi-Greek •Âgurines (nos. 45‰ÛÓ53),,"53. Sk. ‰Ûª29‰ÛÓ2,813; Block C‰Ûª; sq. 5288‰Ûª; stratum IV. Head and shoulders of a gorilla-like •Âgure belonging to the Simidae family‰ÛÓprobably an orang-utan but the identi•Âcation is not certain enough to admit of inferences being drawn from it. The •Âgure, which is in the round, has a wide-open mouth and wrinkled forehead. It is a very •Âne bit of modelling, probably of the second century B.C.‰ÛÓ‰ÛÓtoo •Âne to have been an ordinary toy. Traces of white paint on face, neck and shoulders. Cf. p. 127 supra; A.S.R. (1929‰ÛÓ30), p. 91, no. 111 and P1. XIV, 1. (Pl. 134, no. 53.) Greek and Partho-Greek •Âgurines Miscellaneous •Âgures and other objects Children‰Ûªs toys Chariots 452 TERRA-GOTTA AND CLAY OBJECTS [CH. 24 CLAS s XIV. Miscellaneous (nos. 54‰ÛÓ7)",134-53,Sk,4,1929,24
54,114,81,G, XIII. Greek and quasi-Greek •Âgurines (nos. 45‰ÛÓ53),"114,81","54. Sk. ‰Ûª28‰ÛÓ2,054; Block G‰Ûª; sq. I 14-81‰Ûª; stratum II. Head and bust of androgynous •Âgure in round. Height 4' 5 in. The breasts are prominent, like those of a woman, but the head is bearded and there are traces of a moustache painted in a black pigment. The nose is damaged; the upper part of the head, left eye and ear are missing. Of coarse clay with red slip. Work- manship crude. Cf. p. 181 supra. (Pl. 134, no. 54.)",134-54,Sk,2,1928,24
