,X,Y,Block,Class,Coordinates,Description,Plate,Site,Stratum,Year,Chapter
,,,,,,,,,,,
42,,,, V. Architectural fragments (nos. 24äóî9),,"42. In. äó»I7~F 589; east face of st¥åÅpa A11. Height 23 in. Stucco image of the Bodhisattva Maitreya, in the attitude of Meditation, holding an unguent-¥å‰ask in the ¥åÅngers of his left hand. Wears ear-pendants, necklaces and bangles. The state of preservation is excellent, but the modelling is mechanical and the features heavy and soulless. As a rule, Maitreya is seated in European fashion, and is seldom portrayed in the dhyana-mua'ra. Cf. p. 373 supra. (Pl. 1 5 5, d.) B. Small sculptures in situ. Nos. 43äóî8 (cf. ch. 20, pp. 372äóî3). These are found on a large class of st¥åÅpas at Iaulia¥åÅ and elsewhere. The st¥åÅpas commonly have a square base, circular drum, dome and a range of umbrellas, but from most of them the superäóî structure has now perished and the bases only remain. The latter are generally divided into three horizontal tiers, diminishing in width and height as they ascend, and divided one from the other by dentil cornices. The principle of decoration is the same for all three tiers; it consists of a series of stunted pilasters with shallow niches between them. In the two lower tiers the pilasters are usually in the debased Corinthian style; in the uppermost, in the debased Persepolitan. The niches are in the form either of a trefoil arch or of a portal with sloping jambs, which was the form in fashion at this time for the doorways of monastery cells. These two forms of niches alternate with one another on the faces of the st¥åÅpas, both horizontally and verti- cally. Within the niches are seated Buddhas or Bodhisattvasäóîthe former in the attitude either of Meditation or of Teaching; on either side of the niches, between them and the pilasters, are pairs of ¥åÅgures bringing offerings to or worshipping the Buddha. In order to increase the height of the two lower tiers without diminishing the number of niches, an extra row of ¥åÅgures was added at their base. Inthe lowest tiers these ¥åÅgures commonly consisted of the forefronts of lions alternating with atlantes, which are shown supporting the weight of the superstructure above them. In the second tier the lions were frequently replaced by elephants. CH. 26] STUCCO SCULPTURES 525 To the above description it should be added that: (a) In the second and top tiers the forefronts of lions and elephants were sometimes added at the base of the portal jambs and trefoil arches which enclosed the niches. (b) The Perse- politan pilasteräóîcapitals were usually crowned with bulls, back to back. (0) The atlantes generally took the form of warriors or musicians or ¥åÅgures holding wineäóî cups. (d) The ¥åÅgures beside the Buddha rest, as a rule, on a kind of lotus stool. Sometimes they are two Buddhas, seated and meditating; sometimes they are two monks or two lay-worshippers, kneeling and praying or bringing offerings of fruit or ¥å‰owers in their robes or in a basket, or occasionally with caskets in their hands, containing treasures of one kind or another (no. 43=Pl. 156, a). (e) Figures of seated Buddha are sometimes substituted on the face of the Corinthian pilasters in place of the usual small incised panels, e.g. on the pilasters on the west face of st¥åÅpa D4 (no. 44=Pl. 154, b). The above was the scheme of decoration on the majority of these small st¥åÅpas, but in some cases it was varied by inserting a row of seated Buddhas or Bodhisattvas side by side and without any adventitious decoration beneath the lowest course of lions and atlantes, as in st¥åÅpa A11. In a few cases, as in A15, the whole plinth was occupied by such ¥åÅgures, but as already stated, this may represent an earlier type of decoration. Such intensive repetition of ¥åÅgures is not found in st¥åÅpas of the earlier Gandhara School. The new fashion was to some extent the result of the stereotyping and commercialising of art; but it arose still more from the ever-growing practice of repeating the ¥åÅgures of the Blessed One in countless numbers, so that the donor of them might achieve a corresponding increase in the volume of his merit. The general appearance of these st¥åÅpa-bases will be clear from the illustrations of st¥åÅpas A16 and D4 (nos. 45äóî7) on Pls. 156 and 157. The former, which is the smaller of the two, is now in the local museum; the latter still stands on the spot where it was unearthed. Although the description given above applies accurately to both, there are certain features that merit further attention. One of these is that, while in st¥åÅpa A 16 all the ¥åÅgures in the niches are Buddhas seated in the attitude of Teaching or of Contemplation, in theupper section of D4 as well as in D1, Bodhisattvas are substituted for some of the Buddhas. Another noteworthy feature is the sloppy and unconvincing postures of the atlantes, not only on these, but on all the st¥åÅpas of this period. It is a natural and logical expectation that any supporting ¥åÅgures of the kind, whether atlantes or caryatids or animals, should be suf¥åÅciently big and strong to appear to support the super- incumbent weight; but these atlantes are not only absurdly small in proportion to the size of the structure, but they are in attitudes which suggest that, instead of sustaining the mass above them, they are being crushed beneath its burden. A third point of interest is that among the many pairs of attendants on the Buddhas or the Bodhisattvas we encounter here and there some women. One such pair of women occurs in a panel in the lower row on the north face of st¥åÅpa D4 (no. 48=Pl. 154, c). In the centre, is a meditating Buddha, and to rightäóÖand left of his trefoil niche a woman seated on a high seat in European fashion. The one to MT 57 Buddhas 526 STUCCO SCULPTURES [CH. 26 the proper right of the Buddha holds in both hands a covered vessel, the bottom of which rests on her left hand, while with her right hand she seems about to lift off the tall lid. The other one holds in her right hand a drinking-cup and in her left a spear. These are distinguishing attributes of Kubera, the dispenser of riches, in his capacity of leader of the yakshas, and later on were transferred to his consort Hariti, the demon mother of children and giver of prosperity. We may be sure, therefore, that these women are meant to be yakshinis, embodying some popular superstition or other.I Hariti herself, so the legend goes, was converted by the Buddha and became an updsikd or lay-disciple; and to feed her 500 children, whom she had formerly fed on the ¥å‰esh of human children, Buddha told her that the bhikshus in the monasteries should every day offer her food from their portions. Hence, Iäóîtsing tells us, an image of Hariti was placed either in the porch or in the corner of the diningäóîhall of Indian monasteries, and abundant offerings of food were made to it.z C. Miscellaneous detached sculptures. Nos. 49äóî71 (cf. ch. 20, pp. 371, 384).",1 5 5-d,Bl,,,26
,,,,,,,,,,,
1,146,51,E, III. Bowls (nos. 7äóî12),"146,51","1,387; Block]; sq. 146-51äó»; stratum II. Cf. p. 171 supra. 11. Similar to preceding, with rounded base. Diam. 4-75 in. Sk. äó»27äóî3,222; Block E; sq. 68-46äó»; stratum II. Cf. p. 162 (I5) supra. (Pl. 162, i.) 12. Similar. Diam. 4-75 in. Probably ¥åÅfth century A.D. Dh. äó»15äóî756. T2. 3 ft. below surface. Cf. p. 247 supra. CH. 27] IRON OBJECTS 541 All these come from Sirkap and belong to the ¥åÅrst century A.D. They are ¥å‰at dishes with splayed sides, ¥å‰at or slightly convex base and in one case with horizontal rim. Cf. äóÖCopper and Bronzeäó», ch. 28, Class XVII, c; äóÖPotteryäó», ch. 23, Class XVI, a; äóÖ Stone äó», ch. 25, Classes VII, VIII; äóÖ Silverwareäó», ch. 29, Class V.",162-i,Bl,2,1927,27
,,,,,,,,,,,
58,190,69,L," XVIII. Swords and daggers (nos. 56-62, a)","190,69","58. Similar to preceding and of same date. Length 21 in. Blade convex in section on both sides. Sk. äó»26äóî4,43o; Block L; sq. 190-69äó»; stratum II. (Pl. 164, no. 58.)",164-58,Bl,2,1926,27
,,,,,,,,,,,
61,86,74,F," XVIII. Swords and daggers (nos. 56-62, a)","86,74","61. Similar to preceding. Length 11-5 in. Blade splayed slightly on heel; thinner guard; tang pierced for attachment of grip. Curved pommel riveted to end of tang. Sk. äó»15äóî95; Block F'; sq. 86-74äó»; stratum III. Cf. p. 183 supra. (Pl. 164, no. 61.)",164-61,Bl,3,1915,27
,,,,,,,,,,,
1,45,74,C," XXXVII. Spades, spuds and hoes (nos. 182äóî99)","45,74","1,604; Block Cäó»; sq. 45-74äó»; stratum II. (Pls. 169, no. 198; 205, j.) 199. Iron shoe for wooden spade made of two sheets of metal hammered together at the cutting edge and united above by three transverse nails. Size 462 x 337 in. Fifth century A.D. t"" In. äó»16äóîF47; mon. court. Wooden spades shod with iron were used also by the Romans and J Normans. Cf. Flinders Petrie, op. cit. p. 55 and P1. LXVII, 20, 23. Cf. p. 385 supra. (P1. 169, no. 199). The three following implements were almost certainly used as weedingäóîforks, äóÖ43 but similar implements have been taken for forked arrow-heads for shooting birds 3 and small game. Cf. Flinders Petrie, op. cit. p. 35, and P1. XLI, 167äóî9. The fork is provided with a tang which ¥åÅtted into a wooden handle (or shaft) and was further , secured by a nail. Two of them date from the ¥åÅrst century A.D. The date of the third is uncertain. 200. Two-pronged weeding-fork,rwith pointed tang for ¥åÅxing into handle. Length 562 in. Near the base of the tang is a nail for securing the fork to the handle. First century A.D. Sk. äó»15äóî570; Block G; sq. 97'48äó»; stratum 1. Cf. p. 169 supra. (P1. 169, no. 200.) 201. Similar and of same date. Length 5-2 5 in. Sk. äó»17äóî90; Block Fäó»; sq. 92-74äó»; stratum II. Cf. p. 183 supra. (Pl. 169, no. 201.) 202. Similar. Length 5-5 in. Dh. äó»30äóî52; sq. 2816äó»; 3 ft. below surface. Cf. p. 287 (10) supra. (P1. 169, no. 202.) The earliest sickles found at Taxila date from the ¥åÅrst century A.D., though they must have been in use for many centuries before then. When they do appear, they CH. 27] IRON OBJECTS 561 present us with two distinct types: one with a curved blade of the shape familiar in Europe; the other with a straight blade and sharply curved handle. Both of these types are to be commonly seen in the Panjab to-day. Type a:","169-199, 169-200, 169-201, 169-202",Bl,2,1916,27
,,,,,,,,,,,
102,31,47,D, VII. Bangles and bracelets (nos. 102äóî43),"31,47","102, 103. Two solid bangles of heavy silver wire with cubical knobbed ends. Diam. 337 in. Cf. äóÖCopper and Bronzeäó», nos. 1, 2. A similar bangle, ¥åÅgured at the top of the illustration, was also found in the jewelleräó»s hoard in Block Däó» (p. 187, no. 33). First century A.D. Sk. äó»24äóî683/7; Block B; sq. 31-47äó»; stratum II. Cf. p. 147, no. 7 supra; A.S.R. (1924), p. 49, no. 7. For details of other objects from the same hoard, see nos. 13, 14 supra. (Pl. 195, a.) 634 GOLD AND SILVER JEWELLERY [011. 30 Type I):",195-a,Bl,2,1924,30
,,,,,,,,,,,
56,,,, III. Copper and bronze ¥åÅnger-rings (nos. 19äóî56),,"56. Copper ¥åÅnger-ring with irregular hoop and large almondäóîshaped ¥å‰at bezel. Length of bezel 1-57 in. On bezel, Gupta-Brahmi inscription in single-line border which appears to CH. 31] FINGER-RINGS AND GEMS 649 read: Babhacha(ta)rrta=äóÖBacharana (P). Fifth century AD. Bl. äó»30äóî293. For a gold coin of Bacharana, see R.U.C. no. 270. Cf. p. 396 supra. (Pl. 198, no. 56 and P1. 208, no. 58.) Only two specimens of iron ¥åÅnger-rings have been found at T axila. One dates from the third to second century B.C. ; the other, which has a copper bezel, probably from the ¥åÅfth century AD.",198-56 and 208-58,Bl,,1930,31
,,,,,,,,,,,
