,X,Y,block,class,description,plate,site,stratum,year
78,102,82,G,,"78. Sk. ’28—2,4oo; Block G’; sq. 102-82’; stratum IV. Similar, of micaceous schist, divided into nine compartments. Diam. 4-5 in.' In the central compartment is a lion, and in the four larger compartments around are pairs of lotus leaves; in the smaller ones are quatrefoil rosettes; network border on rim; lotus on back. Cf. p. 181 supra. (Pl. 145, no. 78.)",145-78,Sk,4,1928
79,67,115,E,,"79. Sk. ’27—13; Block E’; sq. 67-115’; stratum IV. Similar, with two lions fronting each other in central compartment. Length 6-37 in. Fragmentary. (Pl. 145, no. 79.)",145-79,Sk,4,1927
80,,,"T-A461, d",,"80. Sk. ’13; Trench A461, d; stratum II. T oilet—tray of micaceous schist, divided into two compartments. Diam. 5-12 in. In upper compartment, winged griﬁ‘in; in lower one, palmette or rays. On rim, scale border incised. Both motif and style suggest Persian inﬂuence. Cf. p. 161, no. 5 supra; A.S.R. (1912), P1. XXIII, a and p. 28, no. 5. (P1. 145, no. 80.)",145-80,Sk,2,1913
81,,,"T-A461, c",,"81. Sk. ’12; Trench A461, c; stratum II. Similar, of micaceous steatite, with serpentine. Diam. 5-62 in. Circular depression in centre with four compartments around, each con- taining a winged griﬂin seated. Style and period same as preceding example. (Pl. 145, no. 81 .)",145-81,Sk,2,1912
82,12,99,1,,"82. Sk. ’29—2,45 5; Block 1’; sq. 12-99’; stratum IV. Similar, of steatite, divided into two compartments. Diam. 3-5 in. In upper compartment, a winged hippocamp with scaly body and ﬁsh-tail. In exergue, half-lotus rosette. Around rim, border of lotus petals with cable edging on side of partition. Saka period. The motif is Hellenistic, but the style partly Indianised. (Pl. 145, no. 82.)",145-82,Sk,4,1929
83,70,91,E,,"83. Sk. ’22—801; Block E’; sq. 70-91’; stratum IV. Similar, of grey schist, with cable border on rim and reel-and-bead border on partition. Diam. 6 in. In upper compartment, winged sea-monster of makara type with garland(?) round neck. In exergue, acanthus lines. (Pl. 145, no. 83.)",145-83,Sk,4,1922
84,60,112,D,,"84. Sk. ’29—1,138; Block D"" sq. 60-1 12’; stratum IV. Similar, of whitish micaceous schist, divided into three compartments. Diam. 4-75 in. In upper compartment, winged monster on lotus background. Incised network border on rim; lotus on back. Cf. p. 190 supra. (Pl. 145, no. 84.)",145-84,Sk,4,1929
85,51,87,C,,"85. Sk. ’29—394; Block C’; sq. 51-87’; stratum III. Toilet-tray of grey-white micaceous schist. Diam. 4-87 in. In upper compartment, winged monster with scaly body, ﬁsh-tail and double pairs of horns, on lotus background. In exergue, half—lotus rosette. Lotus-leaf border round rim. Cf. p. 193 supra. (P1. 145, no. 85.)",145-85,Sk,3,1929
86,76,65,E,,"86. Sk. ’12~1,336; Block E; sq. 76-65’; stratum 11. Similar, of micaceous schist, with three compartments. Diam. 3-75 in. In the upper compartment, a ﬁsh—tailed winged monster; in lower ones, quarter-lotus rosette. Network border on rim. Cf. p. 162, no. 6 supra. A.S.R. (1912), P1. XXIII, b and p. 28, no. 2. (Pl. 145, no. 86.)",145-86,Sk,2,1912
87,57,66,D,,"87. Sk. ’12-642; Block D; sq. 57-66’; stratum II. Similar, of dark grey mica-schist, divided into two compartments. Diam. 4-5 in. In upper compartment, winged ﬁsh-tailed sea-monster with hare-like head,‘on lotus background; in lower, lotus ground. Broken.",,Sk,2,1912
88,92,95,F,,"88. Sk. ’29—2,292; Block F’; sq. 92-95’; stratum II. Similar, of schist—stone, divided into three compartments. Diam. 4-75 in. In the upper compartment, a winged makara-like sea-monster. Lotus ground in all three compartments. Network border round rim. Beading on partition, and lotus on back. Cf. p. 182 supra. (Pl. 146, no. 88.)",146-88,Sk,2,1929
89,74,108,E,,"89. Sk. ’27—1,649; Block E’; sq. 74-108’; stratum II. Similar, of grey schist, divided into two equal compartments. Diam. 5-87 in. Winged ﬁsh-tailed hippocamp in upper, on lotus ground; half—lotus rosette in lower. Both the hippocamp and the lotus are treated in a ﬂorid style. Beaded border on rim. Cf. p. 166, n. 1 supra. (P1. 146, no. 89.)",146-89,Sk,2,1927
90,10,93,1,,"90. Sk. ’22—384; Block 1’; sq. 10-93’; stratum 11. Similar, of grey schist, with three compart- ments. Diam. 4-37 in. Winged monster with makara-like head, but no ﬁsh-tail, in upper compartment; network border on rim. Crude lotus on reverse. Cf. p. 196 supra. 91 . Dh. ’ I 5—613; T2; 2 ft. below surface. Similar, of grey schist, divided into four quadrants with circular depressions in centre. Diam. 4-5 in. Two quadrants contain lotus leaves, the 498 STONE OBJECTS [011. 25 third a winged sea-monster, and the fourth a ﬁgure with human body and ﬁsh-tail legs. On one of the legs is seated a small female ﬁgure. Chevron pattern on partitions and chevron and scale border on rim. Five-petalled rosette in central depression. Cf. A.S.R. (1915), P1. V, b and p. 8, no. 29. For the two ﬁsh—tail legs, see Dar. et Sag. s.v. ‘Aloadae’ and R.U.C., ch. 39 infra, no. 94. (Pl. 146, no. 91.)",146-91,Sk,2,1922
92,50,51,C,,"92. Sk. ’24—316; Block C; sq. 50- 51’; stratum II. Similar, of phyllitic slate. Diam. 4-5 in. In centre, swastika with four arms dividing the tray into four compartments. Engrailed border on swastika and on rim. Cf. p. 149 supra; A.S.R. (1924), P1. X11, 5. (Pl. 146, no. 92.)",146-92,Sk,2,1924
93,166,99,K,,"93. Sk. ’15—841; Block K’; sq. 166-99’; stratum II. Similar, of micaceous schist. Diam. 4-75 in. Divided by curved cross into four sunk compartments with ground of lotus petals. Hatched and network border on rim; foliate medallion with beaded border on cross. Cf. p. 180 supra; A.S.R. (1915), P1. VIII, g. (Pl. 146, no. 93.)",146-93,Sk,2,1915
94,77,90,E,,"94. Sk. ’27—501; Block E’; sq. 77-90’; stratum II. Similar, of mica-schist, with centre divided into nine compartments. Diam. 5-75 in. In the four corner triangles are quatrefoil rosettes. The other compartments are plain. On rim, double-cable border. Cf. p. 184 supra. (Pl. 146, no. 94.) Type 12. Miniature trays of rock-crystal. We may surmise that these were used for toilet cosmetics, but there is no proof of it. They have been found only in the Bhir Mound.",146-94,Sk,2,1927
95,26,12,,,"95. Bm. ’19—1,082; sq. 26-12’; stratum II. Fragment of crystal tray with projecting rim, through which a ﬁne hole is pierced on one side. Length 1-5 in. Of ﬁne workmanship; highly polished. The complete tray may have been in the form of a quadrant with three other trays making up the circle. (P15. 141, h; 147, a.)",,Bm,2,1919
96,16,63,,,"96. Bm. ’21—983; sq. 16-63’; stratum II. Similar to preceding, but smaller, and with two holes pierced through two edges. Length 1-12 in. (P13. 141, i; 147, a.) Type c. Household tray of soft stone.",,Bm,2,1921
97,66,112,,,"97. Sk. ’22—676; Seventh Street (west); sq. 66-112’; stratum II. Rectangular tray of horn- blende mica-schist with lug-handle on one side. Length 12-75 in. Broken. (Pl. 146, no. 97.) Numbers of vessels of this class have been found in Sirkap and later sites, and, thanks to the fact that they were used not only for toilet purposes but as convenient receptacles for the sacred relics enshrined in stfipas, many of them are still in a perfect state of preservation. Usually they are made of grey or micaceous schist, but not infrequently of steatite; only one specimen is made of phyllite. Similar caskets, almost always of steatite, had been made in other parts of India—notably in Hindustan and Central India—as far back, at least, as the Maurya period and pro- bably much earlier, but not a single specimen has been found in the Bhir Mound. The earliest—belonging to the early Saka period (ﬁrst century B.C.)—comes from the Dharmarajika. The shapes of these caskets are not many. The commonest are globular and slightly squat, like the modern lady’s pulf—box, the division between body and lid being just above the middle; others are cylindrical and tall; others cylindrical and shallow, like the Greek pyxis; others again—and these are smaller in size—have a CH. 25] STONE OBJECTS 499 spherical form with a small closely—ﬁtting lid; and there is one—the earliest of all—— which is square, and another which resembles a vase with wide-open mouth. Examples of these types are given below. For other examples, cf. Pls. 35, 36, 49 and 50. Type a. Globular and of slightly squat shape, the division between body and lid being just above the middle.",146-97,Sk,2,1922
98,63,96,D, XV. Toilet caskets (nos. 98—106),"98. Sk. ’28—1,307, a; Block D’; sq. 63'96’; stratum II. Casket of grey schist, with lotus and other patterns in low relief round body and lid. Height 3-12 in. The knob-handle on the top of the lid, which is now broken, was made in a separate piece and afﬁxed with cement. Cf. p. 190 supra.",,Sk,2,1928
99,158,51,K, XV. Toilet caskets (nos. 98—106),"99. Sk. ’14—387; Block K; sq. 1 58' 51’; stratum II. Similar to preceding, of grey schist. Diam. 4in. Below the rim of the body is a band of incised network. Cf. A.S.R. (1914), P1. XXVII, 8. Other examples of this type are Pl. 141,p (Sk. ’26—-3,o67); Pl. 141, q (Sk. ’14— 160); P1. 141, r (Sk. ’13—50). All these are of grey or micaceous schist. Sk. ’24—375 is of grey soapstone and Sk. ’15—459 of phyllite. Cf. p. 176 supra. (Pl. 146, no. 99.) Type b. Tall, cylindrical shape.",146-99,Sk,2,1914
100,58,110,D, XV. Toilet caskets (nos. 98—106),"100. Sk. ’19—1,342; Block D'; sq. 58-1 10’; stratum II. Cylindrical casket of steatite (height 337 in.), with two cordon mouldings in relief and broader bands of incised network and lattice triangles. Lid missing. Other examples of this shape, both of micaceous schist, are Sk. ’22—923 and Sk. ’12—762; and to the same type apparently belong also two small caskets, one of agate the other of rock-crystal, of which pieces only were found in the jeweller’s store-jar in Block D’ I (Sk. ’19—933/22, length 1-87 in., agate; and Sk. ’19—933/ 15, height 1-87 in., rock- crystal). Cf. p. 190 supra""; A.S.R. (1919-20), Pl. X, 32 and p. 19. (Pl. 141, m.) Type c. Shallow, cylindrical shape, resembling the Greek pyxis. Cf. ‘ Copper and Bronze’, ch. 28, Class XI. :01. Sk. ’28~1,086 and 1,136; Block D’; sqs. 62-105' and 61°106’; stratum II. Pyxis-shaped casket of grey schist (height 2 in.), with lotus-leaf band at base of body and incised circles above. Bands of concentric ﬂuting on top of lid, calling to mind the ﬂuting on the silver and bronze goblets use. 5. a, b, ‘Silverware’, ch. 29, and nos. 272, 273, ‘Copper and Bronze’, ch. 28. Ct"". p. 190 supra. (Pl. 141. o.)","141-m, 141. o",Sk,2,1919
102,82,65,F, XV. Toilet caskets (nos. 98—106),"102. Sk. ’33»588; Block F; sq. 82-65'; stratum II. Similar to preceding but of coarse steatite, with sides tapering upwards. Round body, two lines of incised lattice triangles with parallel vertical lines between. Another example is ﬁgured in P1. 141, n (Sk. ’22—556). Cf. p. 166 supra. (P1. 141, u.) Type d. Small and spherical, with lid inset. All are of grey schist.",141-u,Sk,2,1933
103,107,87,G, XV. Toilet caskets (nos. 98—106),"103. Sk. ’28—2,041; Block G’; sq. 107-87’; stratum 11. Small spherical casket of grey schist, adorned with six rosettes within concentric bands. Diam. 1-87 in. The lid, with one rosette, is missing. Cf. p. 181 supra. (Pl. 141, s.)",141-s,Sk,2,1928
104,50,90,C, XV. Toilet caskets (nos. 98—106),"104. Sk. ’30—5 58; spoil earth. Similar to preceding, but with different patterns round rosettes. Diam. 2-25 in. (Pl. 141, t.) 104, a—e. Other examples of this type of casket are Pl. 141, 7) (M1. ’23—137); P1. 141, w (Sk. ’24—970); Pl. 141, x (Sk. ’26—4,022); and of the lids only: Pl. 141, y (Sk. ’16—702). Type e. Square. 104, f. Sk. ’30—389; Block C’; sq. 50-90'; stratum VI. Square casket of grey steatite, with lattice pattern incised on outside. Size 2375 in. sq. by 2 in. I Cf. vol. I, pp. 188—9. Also nos. 138—40, 148, and Class XXVIII, nos. 1—25 infra. 500 STONE OBJECTS [011. 25 Type f. Vase—shaped.",141-t,Sk,6,1930
105,71,90,E, XV. Toilet caskets (nos. 98—106),"105. Sk. ’28M1,o42; Block E’; sq. 71'90'; stratum II. Vase-shaped casket of grey schist, with open mouth in lid. l Ieight 4'7 5 in. Incised horizontal bands round body. Cf. p. 184 supra.",,Sk,2,1928
106,115,91,G, XV. Toilet caskets (nos. 98—106),"106. Here, too, should he mentioned the lid of a casket (Sk. ’28~2,530; Block G’; sq. 1 15-91’; stratum I) of grey schist~stone, which is decorated with the some motif as the toilet-trays nos. 63 and 64, viz. a man lying on a couch with a wine—cup in his left hand, and two women in attendance, one with a wine-cup, the other fanning him. It is 506 in. in diam, and in the exergue is a demilune hole in which the ﬁnger could be inserted. Cf. p. 181 supra; A.S.R. (1928), Pl. xx, 12 and p. 59, no. 7. (Pl. 146, no. 106.) These ladles are in the shape of a shell, with the neck and head of an eagle forming a loop handle. They are of grey or yellow steatite and have been found only in the top stratum in Sirkap.",146-106,Sk,1,1928
107,109,52,G," XVI. Shell~shaped ladies (nos. 107, 108)","107. Sk. ’26—2,2I4/8; Block G; sq. 109.52’; stratum I. Shell-shaped ladle of yellow steatite, with eagle—headed loop handle. Length 337 in. Cf. p. 169 supra. (Pl. 141, z.)",141-z,Sk,1,1926
108,,,," XVI. Shell~shaped ladies (nos. 107, 108)","108. Sk. ’29——970; spoil earth. Similar to preceding, but of grey steatite. Length 3-37 in. Broken. (Pl. 141, aa.) Lamps do not appear to have been made of stone until the Saka-Parthian period, when schist and other soft stones came into use for the manufacture of many household utensils. No specimens of stone lamps have been found in the Bhir Mound or in the earlier cities of Sirkap; and none of those from the Dharma- rajika Stﬁpa can be assigned to an earlier date than the second century A.D. The commonest shape is a leaf- or heart—Shaped vessel, sometimes provided with a handle projecting from the back, sometimes with pierced lugs for suspension. A few specimens are bowl—shaped or rectangular, with spouts for the wicks. The former, and perhaps the latter also, were copied from Hellenistic prototypes. Type a. Leaf- or heart-shaped lamps, with open reservoirs.",141-aa,Sk,,1929
109,45,46,C, XVII. Lamps (nos. 10947),"109. Sk. ’24—882; Block C; sq. 45-46’; stratum IV. Leaf-shaped lamp of grey schist, with three lug-ears, pierced for suspension. Length 4:12 in. (Pl. 141, bb.) ’",141-bb,Sk,4,1924
110,74,53,E, XVII. Lamps (nos. 10947),"1 10. Sk. ’13—1,094; Block E; sq. 74- 53’; stratum I. Similar to preceding, of micaceous schist, with lotus-leaf design on outside. Length 462 in. Cf. p. 162, no. 8 supra. (P1. 14.1, cc.)",14.1-cc,Sk,1,1913
111,,,, XVII. Lamps (nos. 10947),"111. Dh. ’12—1 12; D8; 8 ft. below surface. Similar (length 4-62 in.), with Kharoshthi inscription on outside: Taksha(s’)ilaami dhamarai'(e Dhamadasabhikskun)o (esha)saputrasa danamukhe(o)=‘In the Dharmarajika compound of Takshas’ila this is the gift of the friar Dharmadasa(?).’ Cf. pp. 249, 252 supra; A.S.R. (1912), P1. XIV, d; and for the inscription, C11. 11, pp. 89—90. According to Prof. Konow, the characters are later than the silver—scroll inscription of the year 136=A.D. 78~9 (see above, ch. 10, p. 256), but earlier than Kanishka’s reign. The lamp may, therefore, be assigned to about the beginning of the second century A.D. (Pl. 146, no. 111.)",146-111,Dh,,1912
112,,,T2, XVII. Lamps (nos. 10947),"112. Mm. ’15-274; central court of monastery. Leaf-shaped lamp of phyllite, with three solid lugs at sides and back, and two small projections inside, near the lip. Length 5 in. The outside is carved in low relief with a lotus—leaf pattern, and the rim with a rough bead moulding. This lamp comes from the Mohra Moradu monastery and is almost certainly of the ﬁfth century A.D. (Pl. 141, dd.) . CH. 25] STONE OBJECTS 501 I 13, a. Mm. ’15—286; cell I 5; IO ft. below surface. Heart-shaped lamp of micaceous schist, with projecting handle at back and beaded border on rim. Length 612 in. This also is from   é; the Mohra Moridu monastery, and of the same date as the preceding. (Pl. 142, a.) L: [9—2. Other lamps of the same leaf- or heart-shaped type are Sk. ’14—132, stratum II, of ii schist; Dh. ’16—666, of hornblende-schist; Dh. ’13—I,848, of phyllite; and Dh. ’12—1,087, of .i schist. Type I). In the form of a squat vase, with animal-headed spout. Copied from Hellenistic prototypes. I 14. Ml. ’25—133; Trench B; room 4; 5 ft. 2 in. below surface. Bowl-shaped lamp of green steatite, with spout and three lugs pierced for suspension (length 375 in.). Between the lugs are acanthus leaves, and on the spout an elephant’s head in low relief; the lower part of the body is turned on the lathe and relieved with incised horizontal bands. Pieces of iron wire still remain in the lug-holes. This lamp, which comes from the Mahal site in Sirkap, is referable to the middle or later part of the ﬁrst century A.D. (Pls. 142, b; 146, no. 114.) I I 5. J1. ’12—3 5; Mound D. Similar in shape to the foregoing but of pink Vindhyan sand- stone and much cruder workmanship. Length 4-12 in. The spout, which takes the form of an animal’s head, is longer, and the body adorned with lotus instead of acanthus leaves. Round the mouth at the top is a zigzag pattern. Early medieval period. (Pl. 142, 6.) Type c. Rectangular in shape, with human-headed spout. n6. Dh. ’I7—16o; T2; 2 ft. below surface. Rectangular lamp of micaceous schist, with human-headed spout; length 2-37 in.; three pierced lugs on side for suspension. Beneath the rim, dog-tooth moulding. Probably ﬁfth century A.D. (Pls. 142, d; 146, no. 116.)","141-dd, 142-a, 142-6",Mm,2,1915
