,X,Y,block,class,description,plate,site,stratum,year
24,138,55,1,,"24. Iron ladle with spherical bowl and vertical handle (=Ki'10teos, cyathus). Diam. 2-37 in. First century AD. Sk. ’2o~1,597; Block 1; sq. 138-55’; stratum II. Cf. p. 171 supra. (Pl. I62, I.)",I62-I,Sk,2,
25,,,,,"25. Similar. Diam. 1-62 in. Sk. ’14; Trench A630; stratum II. (Pl. 162, n.)",162-n,Sk,2,1914
26,,,, VII. Sieve (no. 26),"26. Fragment of iron sieve. Length 3-25 in. Bm. ’13—17; stratum II. C L A s 8 VIII. Scale—pans ( P) (nos. 27—9) The small iron saucers described below have the appearance of scale-pans, but as they are provided with two loop, handles only for suspension, instead of three or four, it is questionable whether they can have been used for this purpose.",,Bm,2,1913
27,16,61,, VII. Sieve (no. 26),"27. Small iron pan, with rounded bottom and two loop, handles on rim for suspension. Diam. 4in. Slightly damaged. Third to second century B.C. Bm. ’21-1,448; sq. 16-61’; stratum III. (P1. 163, a.) _",163-a,Bm,3,1921
28,,,, VII. Sieve (no. 26),"28. Similar, with ﬂat base. Diam. 4-25 in. First century AD. Sk. ’14; Trench A593; stratum II. (Pl. 163, b.)",163-b,Sk,2,1914
29,31,89,B, VII. Sieve (no. 26),"29. Similar, with one handle missing. Diam. 3-62 in. First century B.C. Sk. ’29—575; Block B’; sq. 31-89’; stratum IV. (Pl. 163, c.) Type a. Shallow bowls with pinched mouth for wick. Cf. ‘Pottery’, ch. 23, Class XXI, a.",163-c,Sk,4,1929
30,91,72,, IX. Lamps (nos. 30-2),"30. Iron lamp in the form of a round shallow bowl, with pinched mouth for wick. Diam. 3-75 in. Sk. ’15—187; Main Street; sq. 91-72’; stratum II. (Pl. 163, d.)",163-d,Sk,2,1915
31,,,, IX. Lamps (nos. 30-2),"31. Similar. Diam. 4-62 in. Fifth century AD. In. ’16—323; chapel C 5; 3 ft. below surface. Cf. p. 384 supra. (Pl. 163, e.) Type 1). Standard vase-shaped lamp, with spherical body and handle.",163-e,,,1916
32,,,, IX. Lamps (nos. 30-2),"32. Vase-shaped lamp of iron, with spherical bowl, standard base, narrow neck and serpen— tine handle. The body is made in two pieces joined at the middle. Length 1 1 in. Fifth century A.D. In. ’16—284; cell no. 21,; 9 ft below surface. Cf. p. 385 supra; in. Mem. Pl. XXVIII,f. (Pl. 163,f.) Though of rough workmanship, the few iron candelabra found at Taxila are clearly of Greek or Graeco-Roman parentage. For examples, cf. Spinazzola, L’ Arti decorativi in Pompeii, Pl. 294; Dar. et Sag. 3.1). ‘ Candelabrum’.","163,f",Gr,,1916
33,74,74,E, X. Candelabra (nos. 33—5),"33. Iron candelabrum consisting of plain vertical rod with tripod base and leaf—like terminal at top. Circular stop on shaft. Height 3975 in. Sk. ’14—2,051; Block E’; sq. 74'74’; stratum III. Cf. A.S.R. (1914), P1. XXVI, 5o.",,Sk,3,1914
34,,,, X. Candelabra (nos. 33—5),"34. Similar, with two stops on shaft. Height 27 in. First century AD. Sk. ’14; Trench _ A625; stratum II. (P1. 163, h.)",163-h,Sk,2,1914
35,45,74,C, X. Candelabra (nos. 33—5),"35. Similar and of same date, with ring-handle on top and ﬁve pairs of side-brackets. Height I ft. 9 in. Possibly the brackets were intended for the support of lamps such as that wwmwmmwmmmm. w. Wm»... y... . mainnwmmwmw‘m. : l ? 2,       s 2 E i s g E vmithW‘rI’WMMM-cwwwﬁdvﬁ .Wwwwmamawf ’5m:w'rwwvvmmw~wmm«w_..uMyw»',y'araamwvammwnmvwmﬂvesMummnwzwv...~.w J memwmaw .hmwmvmy MM. , W, CH. 27] IRON OBJECTS i 543 ﬁgured under ‘Pottery’, ch. 23, no. 137. The neareSt parallpls are of the archaic Classical Period, e.g. Ducati, Arte Etrusca, P1. XXXV, no. 118. Sk. ’14—1,551; Block C’; sq. 45-74’; stratum II. Cf. p. 193 supra; A.S.R. (1914), Pl. XXVI, 47. (P1. 163, g.) Cf. ‘ Pottery ’, Class XX, 12; ‘Copper and Bronze’, ch. 28, Class XXII, nos. 320,",163-g,Sk,2,1914
321,,,, XI. Incense—burner (no. 36),321. ‘,,,,
36,36,49,B, XI. Incense—burner (no. 36),"36. Iron incense—burner standing on three legs; handle broken. Diam. 3 in. Sk. ’24—124; Block B; sq. 36-49’; stratum II. Cf. p. 148 supra. (Pl. 163, m.) Movable braziers on legs or on wheels were familiar articles of furniture in the Graeco-Roman world, and there can be little doubt that the specimens described below are copied from classical patterns. Cf. Overbeck, Pompeii, p. 440, ﬁg. 235. Gazette Arche’ol. (1876), XVII, p. 52. Canina, Etrurz'a Maritima, P1. LVIII; Mus. Chiusino, vol. I, Pl. XXXIX. Dar. et Sag. 3.7). ‘F ocus’=Gr. éoxécpcx.",163-m,Sk,2,1924
37,28,83,B," XII. Wheeled braziers (nos. 37, 38)","37. Rectangular Wheeled brazier of iron. SizezI x 19- 5 in. Two of the four wheels only 7 have survived and three of the corner handles. Part of the body is broken. Two rings were attached to the body, one in front and one at the back. Sk. ’2o—1 10; Block B’; sq. 28-83’; stratum 1. Cf. pp. 186, 194 supra. (Pls. 163, i; 205, a.)",,Sk,1,
38,136,57,I," XII. Wheeled braziers (nos. 37, 38)","38. Two pairs of iron wheels of a movable brazier with axle attached to each pair. The Wheels are furnished with sixteen spokes each. Diameter of wheel 7-37 in. Length of axle 2 ft. 5 in. Sk. ’26—784; Block I; sq. 136~57’; stratum II. Cf. p. 170 supra. (Pl. 163,j.)","163,j",Sk,2,1926
39,,,," XIII. Shovels (nos. 39, 4o)","39. Iron shovel with ﬂat blade and long straight handle. Length 26 in. Sk. ’27—382; Trench D28; stratum II. (Pl. 163, k.)",163-k,Sk,2,1927
40,,,," XIII. Shovels (nos. 39, 4o)","40. Similar. Length 26-40 in. Sk. ’24—1,187; stratum II. (Pl. 163, 1.) Most of the specimens (nos. 41—5) are of the ﬁrst century A.D. ; nos. 46 and 47 are probably of the ﬁfth century A.D. Cf. ‘Copper and Bronze’, ch. 28, Class XXV. Flinders Petrie, Objects of Daily Use, p. 57, nos. 292—305 and Pl. L.",163-1,Sk,2,1924
41,155,66,K, XIV. Bells (nos. 41~7),"41. Cylindrical bell of iron with ring-handle. Height 2-68 in. The lower part of the bell is damaged. Sk. ’24—r,448; Block K; sq. 155-66’; stratum II. Cf. p. 176 supra. (P1. 163, n.) 42, a—y. Twenty—ﬁve iron bells found adhering to one another. Cylindrical shape with slightly tapering sides. Ring-handle at top. Height of one is 8- 5 in; of the rest between 4 and 2-62 in. Sk. ’27—I,551; Block D’; sq. 61-118’; stratum III. Cf. p. 190 supra. (Pl. 163; o.)","163-n, 163; o",Sk,2,1924
43,138,61,I, XIV. Bells (nos. 41~7),"43.’ Similar, but clapper missing. Handle damaged. Height 2-5 in. Sk. ’26—480; Block I; sq. 138.61’; stratum II. Cf. p. 171 supra. (Pl. 163, r.)",163-r,Sk,2,1926
44,161,46,K, XIV. Bells (nos. 41~7),"44. Similar, but sides more splayed. Clapper missing. Height 2-62 in. Sk. ’14—379; Block K; sq. 161-46’; stratum II. Cf. A.S.R. (1914), P1. XXVI, 49. Cf. p. 176 supra. (Pl. 163, s.) .",163-s,Sk,2,1914
45,12,59,1, XIV. Bells (nos. 41~7),"45. Bowl—shaped bell of iron. Clapper and ring-handle missing. Diam. 4 in. Sk. ’16—I,o72; Block 1; sq. 12-59’; stratum II. Cf. p. 142 supra; (Pl. 163, p.) 69-2 544 IRON OBJECTS [011. 27",163-p,Sk,2,1916
46,15,10,, XIV. Bells (nos. 41~7),"46. Large cylindrical bell of iron, with ring—handle. Height 12-25 in. Slightly damaged; clapper missing. Dh. ’30—712; sq. 15-10’; 3 ft. IO in. below surface.",,Dh,,1930
47,,,, XIV. Bells (nos. 41~7),"47. Bowl-shaped bell of iron; clapper missing. Traces of copper rust at the edge. Height 2 in. In. ’16—F54; monastery. Cf. p. 385 supra; fin. Mem. Pl. XXVIII, n. (Pl. 163, q.) Cf. ‘ Copper and Bronze’, ch. 28, Class XXVI, and remarks there made, which apply to the iron specimens equally with those of copper and bronze.",163-q,,,1916
48,154,60,K," XV. Locks, keys and lock plates (nos. 48—53)","48. Iron key, with ring-handle and four teeth. Length 4' 5 in. First century A.D. Sk. ’14— 314; Block K; sq. 154-60’; stratum II. Cf. p. 176 supra. (P13. 164, no. 48; 184, o, no. 6.)",,Sk,2,1914
49,133,52,I," XV. Locks, keys and lock plates (nos. 48—53)","49. Similar and of same date, with square moulded top. Length 4in. Sk. ’26—1,002; Block I; sq. 133~52’; stratum I. Cf. p. 171 supra. (Pl. 164, no. 49.)",164-49,Sk,1,1926
50,,,," XV. Locks, keys and lock plates (nos. 48—53)","50. Similar, but the wards are perforated with four irregular holes instead of being provided with teeth. Ringed handle. Length 4-62 in. Fifth century A.D. Pippala ’21—160; cell 23; 6 ft. 7 in. below surface. Cf. p. 367 supra. (P15. 164, no. 50; 184, a, no. 5.)",,,,1921
51,,,," XV. Locks, keys and lock plates (nos. 48—53)","51. Iron latch or key, with bent and notched end. Length 537 in. Date uncertain. H1. ’12— 88; I ft. 6 in. below surface. (Pls. 164, no. 51; 184, o, no. 3.)",,,,1912
52,,,," XV. Locks, keys and lock plates (nos. 48—53)","52. Latch, with end turned over at right angles and hole for nail at other end. Cf. also no. 164 infra. Length 4-5 in. Mm. ’15m54; west side of cell 2; 6 ft. 6 in. below surface. Cf. p. 363 (16) supra. (Pls. 164, no. 52;.184, o, no. 4.)",,Mm,,1915
