,X,Y,block,class,coord,description,plate,site,stratum,year
1,38,35,, I. Bangles (nos. 1—4),"38,35","1. Fragment of plain bone bangle. Diam. 1'62 in. Bm. ’21—65; sq. 38-35'; stratum II. (Pl. 199, no. 1.) .",199-1,Bm,2,1921
2,,,K, I. Bangles (nos. 1—4),,"2. Similar, of ivory, with incised cross-hatching between parallel lines on outer face. Length 1-5 in. Sk. ’15—838; Block K’; sq. 16o~106’; stratum II. Cf. p. 180 supra. (Pl. 199, no. 2.)",199-2,Sk,2,1915
3,86,72,, I. Bangles (nos. 1—4),"86,72","3. Ring of ivory. Diam. 2° 5 in. This has the appearance of a bangle but seems rather to have been the base of a small pedestal like no. 56, though made in a separate piece. The inner face of the ring is rough; only the outer face is smooth. Sk. ’I4—I,I77; Main Street; sq. 86-72’; stratum III. (Pl. 199, no. 3.)",199-3,Sk,3,
4,18,66,A, I. Bangles (nos. 1—4),"18,66","4. Similar to preceding. Diam. 2-25 in. Sk. ’16—8 5; Block A; sq. 18'66’; stratum II. Cf. p. 146 supra. The term ‘ear—reel’ for this kind of ornament seems preferable to ‘ear-plug’, since the form they take is that of a reel and they were worn in the lobe, not in the MT 83 654 BONE AND IVORY OBJECTS [CH. 32 oriﬁce of the ear. Some are solid; others pierced with a hole at the centre. They have been found only in the Bhir Mound, in stratum IV. For other objects from the same early stratum, with which these ear—reels should have been included, see vol. I, p. 102. 5. Ear-reel of ﬁne ivory, with one side convex and hole through centre, by which the reel may have been suspended on a cord. Diam. 0-93 in. Bm. ’24—881; sq. 7-57’; stratum IV. (Pl. 199, no. 5.) 6. Similar, well turned on the lathe. One side slightly concave and decorated with incised concentric circles round a central projection. Diam. 1 in. Bm. ’21—345; sq. 30-13’; stratum IV. (Pl. 199, no. 6.) 7. Similar, of bone, with hole through centre. It is of exceptionally large size. Diam. 1-31 in. Bm. ’19—2,090; spoil earth. (P1. 199, no. 7.) This class of ornamental bead comes only from the Bhir Mound and dates from the sixth to third centuries B.C. All the specimens are of bone and divided into eight gadroons. The Indian term dmalaka is adopted from the dmalaka or gadrooned sphere or wheel with which the s’ikham of a Hindu temple is usually crowned and which, in its turn, derived its name from the dmalaka fruit. Beads of the same shape but made of faience are found in Sirkap. They seem to have been fashionable in the ﬁrst century A.D.","199-5, 199-6, 199-7",Sk,2,1916
8,10,38,, III. Gadrooned or amalaka beads (nos. 8—11),"10,38","8. Amalaka—shaped bead of bone with eight gadroons and a hole through centre. Diam. I in. Bm. ’19—1,978; sq. 10-38’; stratum IV. (P1. 199, no. 8.) 9. Similar, with hole plugged up. Diam. 0-87 in. Brn. ’21~175; sq. 8-51’; stratum IV. (Pl. 199, no. 9.) 10. Similar to no. 8. Diam. 1-12 in. Bm. ’21—262; sq. 21—59’; stratum IV.","199-8, 199-9",Bm,4,1919
11,9,60,, III. Gadrooned or amalaka beads (nos. 8—11),"9,60","11. Similar to no. 9. Diam. 0-68 in. Bm. ’24—180; sq. 9-60’; stratum II. (P1. 199, no. 11.) Most of the articles in this class are dagger—shaped pendants of bone or ivory. Nos. 13 and 14 come from the Bhir Mound and are referable to the fourth to third century B.C.; nos. 15 and 16, from Sirkap and Hathial, may belong to the century following, but their date is problematical. Another and earlier object of quasi- human form from the Bhir Mound (no. 12, c. ﬁfth century 3.0.) was in all proba- bility also a pendant, but might have been a child’s toy. The little tooth or horn amulet no. 17, which is bound about the centre with a strip of copper, is akin to a tooth amulet of gold and lead from the Bhir Mound. Cf. ‘Gold and Silver Jewellery ’, ch. 30, no. 80, where references are given to the use of such amulets by the Greeks and Romans, the former of Whom may conceivably have introduced them at T axila.",199-11,Bm,2,1924
12,15,55,, IV. Pendants and amulets (nos. 12—17),"15,55","12. Ivory object in quasi-human form. Height 2- 5 in. Probably it was a pendant, but may have been a child’s toy. Very similar ﬁgures are classed as toys by Flinders Petrie, Objects of Daily Use, P1. LV, no. 600. It is provided with a small hole near the top, for suspension. Bm. ’24—937; sq. 15-55’; stratum IV. (Pl. 199, no. 12.) CH. 32] BONE AND IVORY OBJECTS 655",199-12,Bm,4,1924
13,27,27,, IV. Pendants and amulets (nos. 12—17),"27,27","13. Dagger-shaped pendant of bone. Length 181 in. One side is decorated with six incised circlets, one on the handle and the rest on the blade. On the handle is a hole for suspension. Bm. ’2o—I,249; sq. 27-27’; stratum III. (Pl. 199, no. 13.) 14. Similar to preceding, but of ivory. Length 1-31 in. Decorated on one side of the blade with parallel lines and two circlets. Brn. ’20—1,247; sq. 27-26’; stratum III. (Pl. 199, no. 14.)","199-13, 199-14",Bm,3,1920
15,,,, IV. Pendants and amulets (nos. 12—17),,"15. Similar to preceding, with decoration of incised lines only on handle and blade. Length 187 in. The workmanship is noticeably rougher than in the Bhir Mound specimens. Sk. ’14— 151; spoil earth. (Pl. 199, no. 15.)",199-15,Sk,,1914
16,11,100,1, IV. Pendants and amulets (nos. 12—17),"11,100","16. Similar, with two small holes near base of blade and incised parallel lines on handle and blade. Length 262 in. H1. ’12—28; I ft. below surface. (Pl. 199, no. 16.) 17. Amulet in form of crude bucranium, consisting of a pair of animal teeth bound together with strip of copper. Length 143 in. Sk. ’29—1,I72; Block 1'; sq. 11-100’; stratum III. In Greece the ox—skull was apotropaic. For another tooth amulet, see ‘ Gold and Silver Jewellery’, ch. 30, no. 80. Cf. p. 196 supra. (Pl. 199, no. 17.) GROUP B. ARTICLES OF DRESS AND TOILET Comprising combs and comb—handles, hair-pins, antimony-rods, ear—cleaners and toothpicks, handles of mirrors, fan and other articles. These come exclusively from the Sirkap site and date from the ﬁrst centuries before and after Christ, that is, from the Saka—Parthian period. They are of a type familiar in the Graeco-Roman world and were no doubt introduced from the West.I (Cf. B.M. Guide to Greek and Roman Life, nos. 387 and 387, a, ﬁg. 141.) One of the TaXila combs (no. 22) is a big, heavy comb with a straight top. The rest are smaller and of lighter make, with curved tops. One only (no. 18) is plain; the rest are decorated with incised circlets or more elaborate designs, including a shell, foliate devices, duck, and a pair of human busts of the kind that are familiar in Graeco-Roman art as well as in the carvings of Gandhara and Mathura. Such teeth as survive are sawn very evenly With a ﬁne saw and are only slightly rounded at the ends, not pointed. The smaller and lighter combs may have been used as ornaments in the hair. Ivory and bone were both used in their manufacture.","199-16, 199-17",Sk,3,1912
18,91,51,F, V. Combs (nos. 18—23),"91,51","18. Hair-comb of bone with curved top and no decoration. All teeth broken. Length 287 in. Sk. ’26—2,77o; Block F; sq. 91-51'; stratum IV. First century B.C. Cf. pp. 135, 166, n. I supra. (Pl. 199, no. 18.) 19. Similar, of bone, with eleven incised circlets on one side and ten on the other. Eight teeth complete. Length 231 in. First century AD. Sk. ’26—4,236; Block 1; sq. 13-47’; stratum II. Cf. p. 142 supra. (Pl. 199, no. 19.) 20. Similar and of same date but of ivory, with seven incised circlets on one side and eight on the other. Length 175 in. Sk. ’26—460; Block I; sq. 132'65’; stratum II. Cf. p. 171 supra. 21. Similar, of ivory, engraved with male and female busts on one side and a duck on the other. Teeth missing. The ‘pair of busts’ motif was familiar in Graeco-Roman art and no I The hair-comb of the kind described here was called KTsis or KTéVtov by the Greeks. Edwov was the comb used for wool. 83-2 656 BONE AND IVORY OBJECTS [01-1. 32 doubt derived from the West; it is frequently seen in Gandhara and still more frequently in Mathura reliefs. For the bird motif on this comb, cf. B.M. Guide to Greek and Roman Life, no. 387, and Hackin, Recherches Arche’ologiques d Begram, ch. 2 (1937), P1. LXXVII, ﬁg. 237. Length 181 in. Sk. ’28—194; Block A’; sq. 23-93’; stratum II. Cf. p. 195 supra. (Pl. 199, no. 21.)","199-18, 199-19, 199-21",Sk,4,1926
22,,,, V. Combs (nos. 18—23),,"22. Similar, of ivory, decorated with ﬂoral design in beaded border on one side and conch shell and ﬂoral design in beaded border on the other. Length 1-87 in. Sk. ’19—I,680; spoil earth. (Pl. 199, no. 22.)",199-22,Sk,,1919
23,58,115,D, V. Combs (nos. 18—23),"58,115","23. Hair-comb of ivory with straight edge at top and sides slightly curved inwards. Decora— tion of incised circles between parallel beaded borders, which are also incised. The comb is unusually large and heavy, measuring 4-12 x 3- 5 x 045 in. Sk. ’19—708; Block D’; sq. 58-1 I 5’; stratum II. Cf. p. 191 supra. (Pl. 199, no. 23.) These are made of both bone and ivory, and range in date from the ﬁfth century 3.0. to the ﬁrst century A.D. Only two specimens, however, have been found in the Bhir Mound site and both of them have plain knob heads (nos. 24., 25). The pins with ornamental heads come exclusively from Sirkap, and with one exception (no. 26) are referable to the Saka-Parthian period. Most characteristic of the motifs carved on the heads are the inverted comb and standard cock, the latter of which seems to be copied from Hellenistic prototypes. There is also a peculiar wave design with projecting mouldings on either side (no. 29). Less distinctive are the heads of nos. 28 and 33, which take the form of a bell or pot capital with incised rings below.",199-23,Sk,2,1919
24,56,6,, VI. Hair-pins (nos. 24—34),"56,6","24.. Hair-pin of bone, with separate knob head of shell. Length 156 in. Bm. ’19—1,829; sq. 56-6’; stratum IV. (Pl. 199, no. 24 and P1. 206, no. 15.)",199-24 and 206-15,Bm,4,1919
25,22,59,, VI. Hair-pins (nos. 24—34),"22,59","25. Fragment of ivory hair-pin with knob head. Length 162 in. Bm. ’21—237; sq. 22-59’; stratum III. (Pl. 199, no. 25.)",199-25,Bm,3,1921
