,X,Y,block,class,coord,description,plate,site,stratum,year
1,58,47,D," I. jugs (nos. 1, 2)","58,47","1. Sk. ’26—4,081 /14; Block D; sq. 58-47’; stratum III. For the details of the hoard in which this jug and nos. 2, 4, 5, 7—10, 12, 13, 17—20 were found, see supra, pp. 156—7. Plain jug of silver with ﬂat-bottom, ﬂared mouth and small ring-handle attached to the neck. Height 5 in. Cf. p. 156 (16) supra; and for handled jugs, ‘ Pottery’, ch. 23, Class XIII; ‘ Copper and Bronze ’, ch. 28, Class XIII. (Pls. 187, no. I; 188, no. 1.) Type b:",,Sk,3,1926
2,,,," I. jugs (nos. 1, 2)",,"2. Sk. ’26—4,081/ I 3. From same hoard as no. I ((1.1).). Silver askos with trumpet base and handle of knotted Wire terminating in vine leaves. Length 7-87 in. The handle is attached by rivets. Inscription in Kharoshthi round neck: Ka 100 20 2o 20 20 10 1 Maharaja(bhrata Mauigula) sa putrasa jihouikasa Chukhsasa Kshatrapasa= ‘Year 191. Of Jihonika, the Satrap of Chukhsa, son of (Manigula, brother) of the Great King.’ Cf. p. 156 (I7) supra. The form is typical of the ﬁrst century B.C. to ﬁrst century A.D. work. Cf. Spinazzola, Arti decorativz' a’z' Pompei, Pl. 277, and (in enamelled pottery) Brit. Mus. K15 and K26. For vine ornament on silver wine vessels, cf. Schreiber, Alexandrinische Toreutik, ﬁgs. 119—22. The trumpet base appears to be a local peculiarity (cf. the bowls nos. 8, a—c infra), but it occurs in Sasanian metalwork, probably derived from Parthian and perhaps ultimately from Achaemenid prototypes. Cf. Sarre, Kunst des alteu Persien, Pls. CXX, CXXVIII, CXXXV, etc. The genitive jihouikasa is probably to be understood in an absolute sense, as implying that the date was ‘ during the reign of’ Jihonika (Zeionises), but it may be possessive, implying, as in nos. 7, 10, etc., that the askos was the property of Jihonika. Cf. A.S.R. (1926), PI. XXVII, 1 and p. 114, no. 3; and for inscription, C.I.I. II, pt. I, p. 82, and P1. XVI, a, b, c, d. For inscriptions on Graeco—Roman silverware, cf. Schreiber, op. cit. pp. 380—400. (Pls. 187, no. 2; 188, no. 2.) ‘Stone’, ch. 25, Class XII; ‘Copper and Bronze’, ch. 28, Class VI",,Sk,,1926
3,96,81,F," II. Aryballoi or scent-ﬂasks (nos. 3, 4). Cf. ‘Pottery’, ch. 23, Class III;","96,81","3. Sk., ’29—2,278/1; Block F'; sq. 96-81’; stratum II. Long-necked scent-ﬂasks or aryballoz' of silver, provided With a lid. Height 4-75 in. The lid is fastened to a ring round the neck by means of a chain, some of the links of which are missing. The bottom is decorated with incised concentric circles. For this and other articles found with it in Block F', see p. 182 supra. (Pls. 187, no. 3; 188, no. 3.)",,Sk,2,1929
4,,,," II. Aryballoi or scent-ﬂasks (nos. 3, 4). Cf. ‘Pottery’, ch. 23, Class III;",,"4, a, b. Sk. ’26-4,o8I/17. From same hoard as no. I (qua). Two aryballoi of silver: height 2- 5 in. The lids are attached to the neck by a chain and ring. Cf. p. 157 (18) supra; A.S.R. (1926), p. 114, no. 4 and P1. XXVII, 2. (Pls. 187, no. 4; 188, no. 4.) 612 SILVERWARE [CH. 29 ch. 2 5, Class XIII; ‘Copper and Bronze’, ch. 28, Class XIV",,Sk,,1926
5,,,," III. Goblets (no. 5, a—c). Cf. ‘Pottery’, ch. 23, Class XIV, c; ‘Stone’,",,"5, a—c. Sk. ’26—4,08 1/1 5. From same hoard as no. 1 (qua). Three silver goblets with carinated and ﬂuted bodies. Heights 525, 6-12 and 7 in. Cf. p. 157 (19) supra. Many examples of this type of goblet, made of copper, bronze, and earthenware, have been found at Taxila. (‘Copper and Bronze’, nos. 272, 273, P1. 174; ‘Pottery’, no. 91, P1. 124.) The shape may have been affected by the Hellenistic kantharos, though without the handles; but it seems rather to have been derived from the prehistoric earthenware beaker with pointed bottom. In all these metal goblets the bases are much too small for the size and weight of the vessel. Seemingly, the beverage was meant to be drunk at one draught. For the horizontal ﬂuting, cf. the gold bowl from the Oxus treasure ﬁgured in Dalton, The Treasure of the Oxus, no. 17, Pl. VII, and the rhyton from Erzinjan in Armenia (ibid. no. 178, Pl. XXII). (Pls. 187, no. 5, a, b; 188, no. 5, a, b.) ‘ Stone’, ch. 25, Class X; ‘ Copper and Bronze’, ch. 28, Class XII Type a. Bowls with rounded bottoms and with or without ﬂared mouths.",,Sk,,1926
6,,,E," IV. Bowls and cups (nos. 6—9). Cf. ‘Pottery’, ch. 23, Class XV, d;",,"6. Sk. ’30—382/1; Block E; sq. 6766’; stratum III. From same ﬁnd as no. 15 infra. Silver bowl with round bottom, ﬂared mouth and cordon moulding round middle. Diam. 4- 56 in. Thick metal. For the shape, cf. ‘Pottery’, nos. 105, 106; Dalton, The Treasure of the Oxus, no. 18 (p. 82) and no. 180 (p. 120) and Compte Rendu (1880), p. 223; Atlas, Pl. 111, ﬁg. 5. See also p. 162, nos. 19, 20 supra. (Pl. 187, no. 6.) 7, a~e. Sk. ’26—4,o81/24. From same hoard as no. 1 (41.12.). Five shallow bowls of silver with round bottoms. Two of them bear the same inscription in Kharoshthi, viz.: Theu'taras(y)a Thavaraputras(y)a= ‘Of Theodorus, the son of Thavara.’ Cf. p. 157 (20) supra; C.I.I. II, pt. I, p. 97 (nos. 1, 2) and P1. XIX, nos. I, 2; A.S.R. (1926), p. 115, no. 13. (Pls. 187, no. 7, a, b; 188, no. 7, a, 1).) Type b. Bowls with low standard bases. Of the Greek kylix pattern, but without handles.",187-6,Sk,3,1930
8,,,," IV. Bowls and cups (nos. 6—9). Cf. ‘Pottery’, ch. 23, Class XV, d;",,"8, a—c. Sk. ’26—4,081/23; stratum III. From same hoard as no. 1 (q.v.). Three circular silver bowls with shallow trumpet base soldered to bottom. Diam. 7'75 and 787 in. Cf. p. 157 (21) supra; A.S.R. (1926), p. 115, no. 11; P1. XXVII, 9. (Pls. 187, no. 8; 188, no. 8.)",,Sk,3,1926
9,101,86,G," IV. Bowls and cups (nos. 6—9). Cf. ‘Pottery’, ch. 23, Class XV, d;","101,86","9, a, b. Sk. ’26—4,081/26; stratum III. From same hoard as no. 1 ((1.1).). Two silver cups with shallow base. Diam. 3-87 in. Cf. p. 157 (22) supra; A.S.R. (1926), p. 114, no. 6 and P1. XXVII, 4. (Pls. 187, no. 9; 188, no. 9.) ch. 25, Classes VII, VIII; ‘Copper and Bronze’, ch. 28, Class XVII IO. Sk. ’26—4,081/2I. From same hoard as no. 1 (q.v.). Round silver dish with raised boss in centre, terminating in knob and surrounded by six incised concentric circles. Diam. 8-75 in. ; weight 7 5053 gr. Inscription in Kharoshthi on body: Min'ijukritasa sa 20 IO dha 2= ‘(Pr0— perty) of Mimjukrita: 3o staters, 2 drachms.’ Cf. p. 157 (23) supra. This vessel is a much stylised version of the familiar Greek phiale mesomphalos, which was most popular in the third and second centuries 3.0. Two similar dishes of silver (10, b, c) were found in Block G’, House III in Sirkap (Sk. ’28—2,068; sq. 101 -86’; diam. 12' 5 and 12-7 5 in. respectively) along with a coin of Zeionises, but without any inscription. Cf. A.S.R. (1928), p. 58, no. 71 and P1. XXII, 6. Three similar dishes of copper, and others of terra-cotta and stone have also been unearthed on CH. 29] SILVERWARE 613 the same site. Cf. ‘Copper and Bronze’, ch. 28, (no. 289; ‘Pottery’, ch. 23, no. 109; and ‘ Stone Objects’, ch. 25, nos. 39, 40. See A.S.R. (1926), p. 115, no. 12 and P1. XXVII, 10; and, for the inscriptions, C.I.I. vol. II, pt. I, pp. 99 (4) and P1. XIX—4. (Pls. 187, no. 10; 188, no. 10.)",,Sk,3,1926
11,62,113,D," V. Dishes and plates (nos. 10—12). Cf. ‘Pottery ’, ch. 23, Class XVI; ‘ Stone ’,","62,113","11. Sk. ’29—1,362/4; Block D’; sq. 62-113’; stratum III. Silver saucer with ﬂat base, carinated sides and everted rim. Diam. 6-12 in.; weight 2603-7 gr.; on base, concentric countersunk circles and between them inscription in Kharoshthi: As’pavarmasa strategasa Sa 10. 1. Dra 2.0 2. = ‘Of As’pavarma, the strategos. 11 staters, 2 drachms, 2 obols.’ For the shape, cf. ‘Pottery’, no. 107. As’pavarma, son of Indravarma, was ‘strategos’ during the reigns of Azes II and Gondophares. He was succeeded by his ‘nephew’ Sasas, but not in the ofﬁce of strategos. The title strategos was inherited by the Sakas and Parthians from the Seleucid Empire. What precisely the title implied is uncertain. In the Cambridge History of India it is translated ‘commander-in—chief’; by others it has been interpreted as the equivalent of satrap. That it implied something more than ‘commander-in-chief’ seems probable from the fact that Aspavarma struck coins in his own name as strategos. On the other hand, it is evident that there was a distinction at TaXila between kshatrapa and strategos. Cf. ch. 2, p. 62 supra. For deposit D of Block D’, with which this saucer (no. 4) and other articles of gold and silver were found, see ch. 6, p. 188 supra. (Pl. 187, no. 11.)",187-11,Sk,3,1929
12,,,," V. Dishes and plates (nos. 10—12). Cf. ‘Pottery ’, ch. 23, Class XVI; ‘ Stone ’,",,"12, a—e. Sk. ’26—4,081/25. From the same hoard as no. I ((1.7).). Five circular saucers of silver with ﬂat bases, slightly concave underneath, and everted sides and lip. Diam. 5-62— 825 in. Cf. p. 157 (24) supra; A.S.R. (1926), p. 114, no. 5, and P1. XXVII, 3. Other silver saucers of the same type have been found in Sirkap, e.g. no. 12, f= Sk. ’29-1,362/ 5, which came from the same deposit as no. 11 supra. (Pls. 187, no. 12; 189, no. 12.)",,Sk,,1926
