GRID_ID,Number _of_Objects,Chapter_Object_1,Chapter_Object_2,Chapter_Object_3,Chapter_Object_4,Chapter_Object_5,Chapter_Object_6,Chapter_Object_7,Chapter_Object_8,Chapter_Object_9,Chapter_Object_10,Chapter_Object_11,Chapter_Object_12,Chapter_Object_13,Chapter_Object_14,Chapter_Object_15,Chapter_Object_16,Chapter_Object_17,Chapter_Object_18
"62,113",18,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,33
"77,66",12,29,29,29,30,30,30,30,30,30,30,30,31,,,,,,
"63,62",6,26,26,26,26,26,26,,,,,,,,,,,,
"59,114",6,29,30,30,30,31,33,,,,,,,,,,,,
"157,43",6,30,30,30,30,30,31,,,,,,,,,,,,
"189,70",5,27,27,27,27,27,,,,,,,,,,,,,
"54,62",4,26,26,26,26,,,,,,,,,,,,,,
"31,47",4,30,30,30,30,,,,,,,,,,,,,,
"64,92",4,30,30,30,30,,,,,,,,,,,,,,
"77,65",4,30,30,30,31,,,,,,,,,,,,,,
"58,115",3,25,27,32,,,,,,,,,,,,,,,
"85,89",3,25,27,32,,,,,,,,,,,,,,,
"56,63",3,26,26,26,,,,,,,,,,,,,,,
"125,67",3,27,27,27,,,,,,,,,,,,,,,
"11,93",3,30,31,32,,,,,,,,,,,,,,,
"63,85",3,30,30,31,,,,,,,,,,,,,,,
"13,92",2,24,24,,,,,,,,,,,,,,,,
"14,86",2,24,32,,,,,,,,,,,,,,,,
"161,62",2,24,24,,,,,,,,,,,,,,,,
"162,107",2,24,24,,,,,,,,,,,,,,,,
"49,88",2,24,24,,,,,,,,,,,,,,,,
"50,90",2,24,25,,,,,,,,,,,,,,,,
"72,51",2,24,24,,,,,,,,,,,,,,,,
"8,61",2,24,24,,,,,,,,,,,,,,,,
"109,52",2,25,30,,,,,,,,,,,,,,,,
"11,100",2,25,32,,,,,,,,,,,,,,,,
"15,92",2,25,32,,,,,,,,,,,,,,,,
"35,89",2,25,32,,,,,,,,,,,,,,,,
"36,89",2,25,31,,,,,,,,,,,,,,,,
"77,90",2,25,25,,,,,,,,,,,,,,,,
"84,89",2,25,25,,,,,,,,,,,,,,,,
"54,61",2,26,26,,,,,,,,,,,,,,,,
"133,54",2,27,27,,,,,,,,,,,,,,,,
"46,74",2,27,27,,,,,,,,,,,,,,,,
"68,76",2,27,31,,,,,,,,,,,,,,,,
"108,87",2,30,30,,,,,,,,,,,,,,,,
"66,113",2,30,32,,,,,,,,,,,,,,,,
"34,48",2,33,33,,,,,,,,,,,,,,,,
"75,93",2,36,36,,,,,,,,,,,,,,,,
"100,58",1,24,,,,,,,,,,,,,,,,,
"106,80",1,24,,,,,,,,,,,,,,,,,
"107,78",1,24,,,,,,,,,,,,,,,,,
"11,97",1,24,,,,,,,,,,,,,,,,,
"114,79",1,24,,,,,,,,,,,,,,,,,
"114,81",1,24,,,,,,,,,,,,,,,,,
"12,87",1,24,,,,,,,,,,,,,,,,,
"121,49",1,24,,,,,,,,,,,,,,,,,
"13,47",1,24,,,,,,,,,,,,,,,,,
"14,92",1,24,,,,,,,,,,,,,,,,,
"14,96",1,24,,,,,,,,,,,,,,,,,
"15,61",1,24,,,,,,,,,,,,,,,,,
"15,88",1,24,,,,,,,,,,,,,,,,,
"155,44",1,24,,,,,,,,,,,,,,,,,
"156,49",1,24,,,,,,,,,,,,,,,,,
"159,104",1,24,,,,,,,,,,,,,,,,,
"160,45",1,24,,,,,,,,,,,,,,,,,
"166,44",1,24,,,,,,,,,,,,,,,,,
"189,71",1,24,,,,,,,,,,,,,,,,,
"19,86",1,24,,,,,,,,,,,,,,,,,
"25,66",1,24,,,,,,,,,,,,,,,,,
"27,91",1,24,,,,,,,,,,,,,,,,,
"27,92",1,24,,,,,,,,,,,,,,,,,
"28,93",1,24,,,,,,,,,,,,,,,,,
"33,94",1,24,,,,,,,,,,,,,,,,,
"34,42",1,24,,,,,,,,,,,,,,,,,
"35,85",1,24,,,,,,,,,,,,,,,,,
"40,86",1,24,,,,,,,,,,,,,,,,,
"44,93",1,24,,,,,,,,,,,,,,,,,
"55,64",1,24,,,,,,,,,,,,,,,,,
"57,46",1,24,,,,,,,,,,,,,,,,,
"75,60",1,24,,,,,,,,,,,,,,,,,
"75,76",1,24,,,,,,,,,,,,,,,,,
"85,63",1,24,,,,,,,,,,,,,,,,,
"89,55",1,24,,,,,,,,,,,,,,,,,
"9,100",1,24,,,,,,,,,,,,,,,,,
"90,50",1,24,,,,,,,,,,,,,,,,,
"10,36",1,25,,,,,,,,,,,,,,,,,
"10,93",1,25,,,,,,,,,,,,,,,,,
"102,82",1,25,,,,,,,,,,,,,,,,,
"105,89",1,25,,,,,,,,,,,,,,,,,
"106,50",1,25,,,,,,,,,,,,,,,,,
"107,46",1,25,,,,,,,,,,,,,,,,,
"107,87",1,25,,,,,,,,,,,,,,,,,
"108,62",1,25,,,,,,,,,,,,,,,,,
"115,91",1,25,,,,,,,,,,,,,,,,,
"118,55",1,25,,,,,,,,,,,,,,,,,
"12,99",1,25,,,,,,,,,,,,,,,,,
"13,77",1,25,,,,,,,,,,,,,,,,,
"14,58",1,25,,,,,,,,,,,,,,,,,
"14,99",1,25,,,,,,,,,,,,,,,,,
"146,54",1,25,,,,,,,,,,,,,,,,,
"15,93",1,25,,,,,,,,,,,,,,,,,
"158,51",1,25,,,,,,,,,,,,,,,,,
"166,99",1,25,,,,,,,,,,,,,,,,,
"19,88",1,25,,,,,,,,,,,,,,,,,
"19,94",1,25,,,,,,,,,,,,,,,,,
"20,59",1,25,,,,,,,,,,,,,,,,,
"24,59",1,25,,,,,,,,,,,,,,,,,
"24,77",1,25,,,,,,,,,,,,,,,,,
"25,88",1,25,,,,,,,,,,,,,,,,,
"26,78",1,25,,,,,,,,,,,,,,,,,
"27,84",1,25,,,,,,,,,,,,,,,,,
"27,88",1,25,,,,,,,,,,,,,,,,,
"29,53",1,25,,,,,,,,,,,,,,,,,
"31,86",1,25,,,,,,,,,,,,,,,,,
"31,99",1,25,,,,,,,,,,,,,,,,,
"32,86",1,25,,,,,,,,,,,,,,,,,
"34,86",1,25,,,,,,,,,,,,,,,,,
"36,50",1,25,,,,,,,,,,,,,,,,,
"36,57",1,25,,,,,,,,,,,,,,,,,
"37,50",1,25,,,,,,,,,,,,,,,,,
"41,78",1,25,,,,,,,,,,,,,,,,,
"43,86",1,25,,,,,,,,,,,,,,,,,
"44,92",1,25,,,,,,,,,,,,,,,,,
"45,46",1,25,,,,,,,,,,,,,,,,,
"45,80",1,25,,,,,,,,,,,,,,,,,
"47,46",1,25,,,,,,,,,,,,,,,,,
"47,54",1,25,,,,,,,,,,,,,,,,,
"47,94",1,25,,,,,,,,,,,,,,,,,
"50,51",1,25,,,,,,,,,,,,,,,,,
"51,78",1,25,,,,,,,,,,,,,,,,,
"51,87",1,25,,,,,,,,,,,,,,,,,
"56,55",1,25,,,,,,,,,,,,,,,,,
"57,66",1,25,,,,,,,,,,,,,,,,,
"57,92",1,25,,,,,,,,,,,,,,,,,
"58,110",1,25,,,,,,,,,,,,,,,,,
"63,96",1,25,,,,,,,,,,,,,,,,,
"66,112",1,25,,,,,,,,,,,,,,,,,
"67,115",1,25,,,,,,,,,,,,,,,,,
"69,61",1,25,,,,,,,,,,,,,,,,,
"70,91",1,25,,,,,,,,,,,,,,,,,
"71,90",1,25,,,,,,,,,,,,,,,,,
"73,100",1,25,,,,,,,,,,,,,,,,,
"73,75",1,25,,,,,,,,,,,,,,,,,
"73,99",1,25,,,,,,,,,,,,,,,,,
"74,108",1,25,,,,,,,,,,,,,,,,,
"74,52",1,25,,,,,,,,,,,,,,,,,
"74,53",1,25,,,,,,,,,,,,,,,,,
"74,98",1,25,,,,,,,,,,,,,,,,,
"75,91",1,25,,,,,,,,,,,,,,,,,
"76,100",1,25,,,,,,,,,,,,,,,,,
"76,65",1,25,,,,,,,,,,,,,,,,,
"82,65",1,25,,,,,,,,,,,,,,,,,
"85,90",1,25,,,,,,,,,,,,,,,,,
"91,66",1,25,,,,,,,,,,,,,,,,,
"92,95",1,25,,,,,,,,,,,,,,,,,
"36,65",1,26,,,,,,,,,,,,,,,,,
"54,60",1,26,,,,,,,,,,,,,,,,,
"55,62",1,26,,,,,,,,,,,,,,,,,
"63,65",1,26,,,,,,,,,,,,,,,,,
"106,79",1,27,,,,,,,,,,,,,,,,,
"114,49",1,27,,,,,,,,,,,,,,,,,
"12,59",1,27,,,,,,,,,,,,,,,,,
"129,43",1,27,,,,,,,,,,,,,,,,,
"13,58",1,27,,,,,,,,,,,,,,,,,
"133,52",1,27,,,,,,,,,,,,,,,,,
"133,65",1,27,,,,,,,,,,,,,,,,,
"134,54",1,27,,,,,,,,,,,,,,,,,
"135,50",1,27,,,,,,,,,,,,,,,,,
"138,55",1,27,,,,,,,,,,,,,,,,,
"138,61",1,27,,,,,,,,,,,,,,,,,
"14,65",1,27,,,,,,,,,,,,,,,,,
"151,58",1,27,,,,,,,,,,,,,,,,,
"153,64",1,27,,,,,,,,,,,,,,,,,
"154,60",1,27,,,,,,,,,,,,,,,,,
"155,66",1,27,,,,,,,,,,,,,,,,,
"157,61",1,27,,,,,,,,,,,,,,,,,
"159,57",1,27,,,,,,,,,,,,,,,,,
"161,46",1,27,,,,,,,,,,,,,,,,,
"165,110",1,27,,,,,,,,,,,,,,,,,
"167,105",1,27,,,,,,,,,,,,,,,,,
"179,47",1,27,,,,,,,,,,,,,,,,,
"21,74",1,27,,,,,,,,,,,,,,,,,
"22,79",1,27,,,,,,,,,,,,,,,,,
"25,78",1,27,,,,,,,,,,,,,,,,,
"26,93",1,27,,,,,,,,,,,,,,,,,
"28,83",1,27,,,,,,,,,,,,,,,,,
"33,86",1,27,,,,,,,,,,,,,,,,,
"34,50",1,27,,,,,,,,,,,,,,,,,
"35,51",1,27,,,,,,,,,,,,,,,,,
"36,49",1,27,,,,,,,,,,,,,,,,,
"36,60",1,27,,,,,,,,,,,,,,,,,
"44,74",1,27,,,,,,,,,,,,,,,,,
"45,44",1,27,,,,,,,,,,,,,,,,,
"45,74",1,27,,,,,,,,,,,,,,,,,
"47,49",1,27,,,,,,,,,,,,,,,,,
"49,51",1,27,,,,,,,,,,,,,,,,,
"51,51",1,27,,,,,,,,,,,,,,,,,
"51,90",1,27,,,,,,,,,,,,,,,,,
"54,90",1,27,,,,,,,,,,,,,,,,,
"55,112",1,27,,,,,,,,,,,,,,,,,
"59,104",1,27,,,,,,,,,,,,,,,,,
"61,86",1,27,,,,,,,,,,,,,,,,,
"62,104",1,27,,,,,,,,,,,,,,,,,
"62,75",1,27,,,,,,,,,,,,,,,,,
"64,77",1,27,,,,,,,,,,,,,,,,,
"69,66",1,27,,,,,,,,,,,,,,,,,
"7,61",1,27,,,,,,,,,,,,,,,,,
"71,76",1,27,,,,,,,,,,,,,,,,,
"73,83",1,27,,,,,,,,,,,,,,,,,
"74,74",1,27,,,,,,,,,,,,,,,,,
"77,50",1,27,,,,,,,,,,,,,,,,,
"77,68",1,27,,,,,,,,,,,,,,,,,
"82,73",1,27,,,,,,,,,,,,,,,,,
"83,72",1,27,,,,,,,,,,,,,,,,,
"84,52",1,27,,,,,,,,,,,,,,,,,
"86,74",1,27,,,,,,,,,,,,,,,,,
"90,83",1,27,,,,,,,,,,,,,,,,,
"91,72",1,27,,,,,,,,,,,,,,,,,
"93,75",1,27,,,,,,,,,,,,,,,,,
"96,46",1,27,,,,,,,,,,,,,,,,,
"96,73",1,27,,,,,,,,,,,,,,,,,
"101,86",1,29,,,,,,,,,,,,,,,,,
"58,47",1,29,,,,,,,,,,,,,,,,,
"67,66",1,29,,,,,,,,,,,,,,,,,
"96,81",1,29,,,,,,,,,,,,,,,,,
"114,87",1,30,,,,,,,,,,,,,,,,,
"36,95",1,30,,,,,,,,,,,,,,,,,
"10,54",1,31,,,,,,,,,,,,,,,,,
"109,85",1,31,,,,,,,,,,,,,,,,,
"13,79",1,31,,,,,,,,,,,,,,,,,
"154,63",1,31,,,,,,,,,,,,,,,,,
"161,43",1,31,,,,,,,,,,,,,,,,,
"163,52",1,31,,,,,,,,,,,,,,,,,
"19,55",1,31,,,,,,,,,,,,,,,,,
