FID,Entity,GRID_ID,longitude,latitude
0,LWPolyline,"1,106",72.82825034,33.75823395
1,LWPolyline,"1,105",72.82828324,33.75823355
2,LWPolyline,"1,104",72.82831613,33.75823314
3,LWPolyline,"1,103",72.82834902,33.75823274
4,LWPolyline,"1,102",72.82838191,33.75823233
5,LWPolyline,"1,101",72.8284148,33.75823192
6,LWPolyline,"1,100",72.8284477,33.75823152
7,LWPolyline,"1,99",72.82848059,33.75823111
8,LWPolyline,"1,98",72.82851348,33.75823071
9,LWPolyline,"1,97",72.82854638,33.7582303
10,LWPolyline,"1,96",72.82857927,33.75822989
11,LWPolyline,"1,95",72.82861216,33.75822949
12,LWPolyline,"1,94",72.82864505,33.75822908
13,LWPolyline,"1,93",72.82867795,33.75822868
14,LWPolyline,"1,92",72.82871084,33.75822827
15,LWPolyline,"1,91",72.82874373,33.75822787
16,LWPolyline,"1,90",72.82877663,33.75822746
17,LWPolyline,"1,89",72.82880952,33.75822705
18,LWPolyline,"1,88",72.82884241,33.75822665
19,LWPolyline,"1,87",72.8288753,33.75822624
20,LWPolyline,"1,86",72.8289082,33.75822584
21,LWPolyline,"1,85",72.82894109,33.75822543
22,LWPolyline,"1,84",72.82897398,33.75822503
23,LWPolyline,"1,83",72.82900687,33.75822462
24,LWPolyline,"1,82",72.82903977,33.75822421
25,LWPolyline,"1,81",72.82907266,33.75822381
26,LWPolyline,"1,80",72.82910555,33.7582234
27,LWPolyline,"1,79",72.82913845,33.758223
28,LWPolyline,"1,78",72.82917134,33.75822259
29,LWPolyline,"1,77",72.82920423,33.75822218
30,LWPolyline,"1,76",72.82923712,33.75822178
31,LWPolyline,"1,75",72.82927002,33.75822137
32,LWPolyline,"1,74",72.82930291,33.75822097
33,LWPolyline,"1,73",72.8293358,33.75822056
34,LWPolyline,"1,72",72.8293687,33.75822016
35,LWPolyline,"1,71",72.82940159,33.75821975
36,LWPolyline,"1,70",72.82943448,33.75821934
37,LWPolyline,"1,69",72.82946737,33.75821894
38,LWPolyline,"1,68",72.82950027,33.75821853
39,LWPolyline,"1,67",72.82953316,33.75821813
40,LWPolyline,"1,66",72.82956605,33.75821772
41,LWPolyline,"1,65",72.82959894,33.75821731
42,LWPolyline,"1,64",72.82963184,33.75821691
43,LWPolyline,"1,63",72.82966473,33.7582165
44,LWPolyline,"1,62",72.82969762,33.7582161
45,LWPolyline,"1,61",72.82973052,33.75821569
46,LWPolyline,"1,60",72.82976341,33.75821528
47,LWPolyline,"1,59",72.8297963,33.75821488
48,LWPolyline,"1,58",72.82982919,33.75821447
49,LWPolyline,"1,57",72.82986209,33.75821406
50,LWPolyline,"1,56",72.82989498,33.75821366
51,LWPolyline,"1,55",72.82992787,33.75821325
52,LWPolyline,"1,54",72.82996077,33.75821285
53,LWPolyline,"1,53",72.82999366,33.75821244
54,LWPolyline,"1,52",72.83002655,33.75821203
55,LWPolyline,"1,51",72.83005944,33.75821163
56,LWPolyline,"1,50",72.83009234,33.75821122
57,LWPolyline,"1,49",72.83012523,33.75821082
58,LWPolyline,"1,48",72.83015812,33.75821041
59,LWPolyline,"1,47",72.83019101,33.75821
60,LWPolyline,"1,46",72.83022391,33.7582096
61,LWPolyline,"1,45",72.8302568,33.75820919
62,LWPolyline,"1,44",72.83028969,33.75820879
63,LWPolyline,"1,43",72.83032259,33.75820838
64,LWPolyline,"1,42",72.83035548,33.75820797
65,LWPolyline,"1,41",72.83038837,33.75820757
66,LWPolyline,"1,40",72.83042126,33.75820716
67,LWPolyline,"1,39",72.83045416,33.75820675
68,LWPolyline,"1,38",72.83048705,33.75820635
69,LWPolyline,"1,37",72.83051994,33.75820594
70,LWPolyline,"1,36",72.83055284,33.75820554
71,LWPolyline,"1,35",72.83058573,33.75820513
72,LWPolyline,"1,34",72.83061862,33.75820472
73,LWPolyline,"2,106",72.82824986,33.75820648
74,LWPolyline,"2,105",72.82828275,33.75820607
75,LWPolyline,"2,104",72.82831564,33.75820567
76,LWPolyline,"2,103",72.82834853,33.75820526
77,LWPolyline,"2,102",72.82838143,33.75820486
78,LWPolyline,"2,101",72.82841432,33.75820445
79,LWPolyline,"2,100",72.82844721,33.75820404
80,LWPolyline,"2,99",72.82848011,33.75820364
81,LWPolyline,"2,98",72.828513,33.75820323
82,LWPolyline,"2,97",72.82854589,33.75820283
83,LWPolyline,"2,96",72.82857878,33.75820242
84,LWPolyline,"2,95",72.82861168,33.75820201
85,LWPolyline,"2,94",72.82864457,33.75820161
86,LWPolyline,"2,93",72.82867746,33.7582012
87,LWPolyline,"2,92",72.82871035,33.7582008
88,LWPolyline,"2,91",72.82874325,33.75820039
89,LWPolyline,"2,90",72.82877614,33.75819999
90,LWPolyline,"2,89",72.82880903,33.75819958
91,LWPolyline,"2,88",72.82884193,33.75819918
92,LWPolyline,"2,87",72.82887482,33.75819877
93,LWPolyline,"2,86",72.82890771,33.75819836
94,LWPolyline,"2,85",72.8289406,33.75819796
95,LWPolyline,"2,84",72.8289735,33.75819755
96,LWPolyline,"2,83",72.82900639,33.75819715
97,LWPolyline,"2,82",72.82903928,33.75819674
98,LWPolyline,"2,81",72.82907217,33.75819633
99,LWPolyline,"2,80",72.82910507,33.75819593
100,LWPolyline,"2,79",72.82913796,33.75819552
101,LWPolyline,"2,78",72.82917085,33.75819512
102,LWPolyline,"2,77",72.82920375,33.75819471
103,LWPolyline,"2,76",72.82923664,33.7581943
104,LWPolyline,"2,75",72.82926953,33.7581939
105,LWPolyline,"2,74",72.82930242,33.75819349
106,LWPolyline,"2,73",72.82933532,33.75819309
107,LWPolyline,"2,72",72.82936821,33.75819268
108,LWPolyline,"2,71",72.8294011,33.75819227
109,LWPolyline,"2,70",72.829434,33.75819187
110,LWPolyline,"2,69",72.82946689,33.75819146
111,LWPolyline,"2,68",72.82949978,33.75819106
112,LWPolyline,"2,67",72.82953267,33.75819065
113,LWPolyline,"2,66",72.82956557,33.75819024
114,LWPolyline,"2,65",72.82959846,33.75818984
115,LWPolyline,"2,64",72.82963135,33.75818943
116,LWPolyline,"2,63",72.82966424,33.75818903
117,LWPolyline,"2,62",72.82969714,33.75818862
118,LWPolyline,"2,61",72.82973003,33.75818822
119,LWPolyline,"2,60",72.82976292,33.75818781
120,LWPolyline,"2,59",72.82979582,33.7581874
121,LWPolyline,"2,58",72.82982871,33.758187
122,LWPolyline,"2,57",72.8298616,33.75818659
123,LWPolyline,"2,56",72.82989449,33.75818619
124,LWPolyline,"2,55",72.82992739,33.75818578
125,LWPolyline,"2,54",72.82996028,33.75818537
126,LWPolyline,"2,53",72.82999317,33.75818497
127,LWPolyline,"2,52",72.83002607,33.75818456
128,LWPolyline,"2,51",72.83005896,33.75818415
129,LWPolyline,"2,50",72.83009185,33.75818375
130,LWPolyline,"2,49",72.83012474,33.75818334
131,LWPolyline,"2,48",72.83015764,33.75818294
132,LWPolyline,"2,47",72.83019053,33.75818253
133,LWPolyline,"2,46",72.83022342,33.75818212
134,LWPolyline,"2,45",72.83025631,33.75818172
135,LWPolyline,"2,44",72.83028921,33.75818131
136,LWPolyline,"2,43",72.8303221,33.7581809
137,LWPolyline,"2,42",72.83035499,33.7581805
138,LWPolyline,"2,41",72.83038789,33.75818009
139,LWPolyline,"2,40",72.83042078,33.75817969
140,LWPolyline,"2,39",72.83045367,33.75817928
141,LWPolyline,"2,38",72.83048656,33.75817887
142,LWPolyline,"2,37",72.83051946,33.75817847
143,LWPolyline,"2,36",72.83055235,33.75817806
144,LWPolyline,"2,35",72.83058524,33.75817765
145,LWPolyline,"2,34",72.83061814,33.75817725
146,LWPolyline,"3,106",72.82824937,33.758179
147,LWPolyline,"3,105",72.82828226,33.7581786
148,LWPolyline,"3,104",72.82831516,33.75817819
149,LWPolyline,"3,103",72.82834805,33.75817779
150,LWPolyline,"3,102",72.82838094,33.75817738
151,LWPolyline,"3,101",72.82841383,33.75817698
152,LWPolyline,"3,100",72.82844673,33.75817657
